,Name,Team,Pos,W,L,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,PTS,ERA,AVG,WHIP,FPPG,Projected_FPPG
206,Ryan Thompson,TB,RP,2,1,13,0,0,13.1,9,5,4,1,5,11,73,2.7,0.184,1.05,5.615384615384616,16.445509435447782
207,Miguel Castro,NYM,RP,0,0,10,0,0,10.0,10,5,4,1,3,18,72,3.6,0.25,1.3,7.2,12.914788827061594
208,Dan Winkler,CHC,RP,1,0,13,0,0,10.2,5,1,1,0,7,12,71,0.84,0.135,1.13,5.461538461538462,20.08980554560483
209,Rafael Dolis,TOR,RP,1,0,14,0,3,12.2,3,4,4,1,8,13,71,2.84,0.075,0.87,5.071428571428571,20.972408444253684
210,Brad Keller,KC,SP,2,3,6,6,0,22.1,36,25,20,4,12,16,71,8.06,0.36,2.15,11.833333333333336,25.142726776409525
211,Josh Sborz,TEX,RP,3,1,11,0,0,11.2,7,5,5,0,4,11,71,3.86,0.171,0.94,6.454545454545454,15.029843807696572
212,Andrew Kittredge,TB,RP,3,0,9,1,1,11.2,6,2,2,1,3,8,71,1.54,0.14,0.77,7.888888888888888,15.209639307812402
213,Tyler Rogers,SF,RP,0,0,16,0,2,16.2,12,3,2,1,3,9,71,1.08,0.197,0.9,4.4375,13.473959756265815
214,Génesis Cabrera,STL,RP,0,1,14,0,0,13.2,9,6,5,1,6,15,71,3.29,0.17600000000000002,1.1,5.071428571428571,17.26941858033379
215,Yimi García,MIA,RP,2,2,13,0,4,12.1,9,5,3,3,3,10,70,2.19,0.173,0.97,5.384615384615384,13.650839666137976
216,Spencer Turnbull,DET,SP,1,2,3,3,0,16.0,12,8,8,1,5,12,70,4.5,0.203,1.06,23.33333333333333,17.683801514987426
217,Richard Rodríguez,PIT,RP,1,0,11,0,4,11.1,1,0,0,0,1,10,70,0.0,0.028,0.18,6.363636363636362,13.125474866489714
218,Taylor Hearn,TEX,SP,0,1,9,0,0,13.1,16,9,9,4,10,19,70,6.08,0.29600000000000004,1.95,7.777777777777778,21.559838015003876
219,Austin Adams,SD,RP,0,0,11,0,0,9.1,6,5,5,0,4,19,70,4.82,0.188,1.07,6.363636363636362,14.129875008842248
220,John King,TEX,SP,2,1,10,0,0,13.1,16,5,2,0,2,8,70,1.35,0.29600000000000004,1.35,7.0,12.304876196774389
221,Andrew Chafin,CHC,RP,0,1,14,0,0,13.0,8,5,5,1,4,15,69,3.46,0.17,0.92,4.928571428571429,14.446277436515473
222,Tyler Matzek,ATL,SP,0,2,12,0,0,11.0,9,7,6,2,8,18,69,4.91,0.214,1.55,5.75,19.25367382699997
223,Will Smith,ATL,RP,0,2,12,0,5,11.0,6,4,4,0,7,16,69,3.27,0.162,1.18,5.75,19.085196868222685
224,Tommy Milone,TOR,SP,1,0,6,1,1,14.0,20,10,10,3,3,17,69,6.43,0.32299999999999995,1.64,11.5,11.934834583696
225,Brett Anderson,MIL,SP,2,2,4,4,0,17.1,18,9,8,3,4,8,68,4.15,0.265,1.27,17.0,15.901465527286419
226,Keone Kela,SD,RP,2,1,10,0,0,9.2,9,6,4,2,3,13,68,3.72,0.231,1.24,6.8,13.021354094102874
227,Taylor Clarke,ARI,SP,1,0,11,0,0,14.2,17,10,9,3,4,15,68,5.52,0.28300000000000003,1.43,6.1818181818181825,13.137974633418896
228,Mitch Keller,PIT,SP,1,3,5,5,0,18.2,24,17,17,3,13,19,68,8.2,0.308,1.98,13.6,26.948347631716178
229,Clay Holmes,PIT,RP,1,0,13,0,0,14.2,12,9,8,1,4,14,68,4.91,0.218,1.09,5.230769230769232,13.685857965628243
230,Kyle Finnegan,WSH,RP,1,0,12,0,0,11.2,11,5,5,3,5,14,68,3.86,0.239,1.37,5.666666666666668,15.349570295760564
231,Gregory Soto,DET,SP,1,1,12,0,3,11.2,11,4,4,1,6,13,68,3.09,0.234,1.46,5.666666666666668,17.131312262673365
232,A.J. Minter,ATL,RP,1,0,13,0,0,12.1,7,5,5,0,6,13,67,3.65,0.163,1.05,5.153846153846153,17.388105937090344
233,Edwin Díaz,NYM,RP,1,1,11,0,3,10.2,8,6,5,0,5,14,65,4.22,0.211,1.22,5.909090909090909,15.635613573380986
234,Kenley Jansen,LAD,RP,0,1,10,0,5,11.1,3,4,3,1,9,13,64,2.38,0.083,1.06,6.4,22.846946809190175
235,Drew Smyly,ATL,SP,0,2,4,4,0,19.0,22,21,17,9,7,18,64,8.05,0.282,1.53,16.0,18.108974699612833
236,Adam Ottavino,BOS,RP,2,2,12,0,0,10.0,8,8,6,0,9,13,63,5.4,0.211,1.7,5.25,20.390485493536197
237,Rafael Montero,SEA,RP,2,1,13,0,4,13.0,9,8,6,1,5,10,63,4.15,0.191,1.08,4.846153846153847,15.563371786224149
238,Zach Davies,CHC,SP,1,2,6,6,0,23.0,31,22,21,3,18,17,63,8.22,0.316,2.13,10.5,34.21275972421786
239,Carson Fulmer,CIN,SP,0,0,13,0,0,15.0,11,7,7,1,6,13,63,4.2,0.208,1.13,4.846153846153847,16.81751723595647
240,José Alvarado,PHI,RP,2,0,10,0,1,8.0,6,4,4,0,5,13,63,4.5,0.188,1.38,6.3,15.485333809366363
241,Darwinzon Hernandez,BOS,RP,0,1,11,0,0,10.0,9,5,4,1,8,15,63,3.6,0.243,1.7,5.727272727272728,19.59679409837799
242,Tyler Kinley,COL,RP,0,0,11,0,0,12.0,10,5,5,1,9,14,63,3.75,0.233,1.58,5.727272727272728,21.20256979862411
243,Trent Thornton,TOR,SP,0,0,8,2,0,14.0,14,5,5,3,5,12,63,3.21,0.269,1.36,7.875,16.45226652946133
