,Name,Team,Pos,W,L,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,PTS,ERA,AVG,WHIP,FPPG,Projected_FPPG
0,Tyler Glasnow,TB,SP,4,1,7,7,0,43.2,23,10,10,4,15,64,337,2.06,0.151,0.87,48.14285714285714,39.333428945200396
1,Shane Bieber,CLE,SP,3,2,6,6,0,42.1,28,13,13,5,14,68,334,2.76,0.17800000000000002,0.99,55.66666666666666,37.18590465604019
2,Gerrit Cole,NYY,SP,4,1,6,6,0,37.2,24,7,6,1,3,62,325,1.43,0.17800000000000002,0.72,54.16666666666666,21.310256676325857
3,Jacob deGrom,NYM,SP,2,2,5,5,0,35.0,16,5,2,2,4,59,308,0.51,0.136,0.57,61.6,22.91073559377698
4,Trevor Bauer,LAD,SP,3,1,6,6,0,40.0,19,12,11,7,8,51,278,2.48,0.138,0.68,46.33333333333334,27.52835101131732
5,Yu Darvish,SD,SP,3,1,6,6,0,38.0,23,9,9,4,11,49,272,2.13,0.172,0.9,45.33333333333334,31.76820327982547
6,Max Scherzer,WSH,SP,2,2,6,6,0,39.0,27,13,11,7,6,47,253,2.54,0.196,0.85,42.16666666666666,23.616925097828634
7,Clayton Kershaw,LAD,SP,4,2,8,6,0,38.2,30,10,9,3,5,39,250,2.1,0.21,0.91,31.25,21.85946688681356
8,Corbin Burnes,MIL,RP,2,2,5,5,0,29.1,16,6,5,1,0,49,248,1.53,0.152,0.55,49.6,15.489765539739233
9,Kevin Gausman,SF,SP,2,0,6,6,0,39.2,25,9,9,4,11,40,244,2.04,0.175,0.91,40.66666666666666,30.99708989760101
10,Joe Musgrove,SD,SP,2,3,9,6,0,34.0,18,11,9,4,7,47,240,2.38,0.14800000000000002,0.74,26.66666666666667,24.921303297865833
11,Trevor Rogers,MIA,SP,3,2,6,6,0,33.0,22,8,7,2,13,44,240,1.91,0.193,1.06,40.0,34.23586445774454
12,Julio Urías,LAD,RP,4,0,6,6,0,37.2,28,13,12,4,6,42,239,2.87,0.206,0.9,39.833333333333336,23.37291904370445
13,John Means,BAL,SP,3,0,6,6,0,37.0,21,7,7,5,10,38,238,1.7,0.163,0.84,39.66666666666666,29.78850138686007
14,Brandon Woodruff,MIL,SP,2,0,6,6,0,35.0,19,7,7,1,9,40,236,1.8,0.158,0.8,39.333333333333336,28.225393962033046
15,Danny Duffy,KC,SP,4,1,5,5,0,30.0,20,4,2,2,9,34,226,0.6,0.183,0.97,45.2,28.37686520849706
16,Freddy Peralta,MIL,RP,3,0,6,5,0,28.0,14,7,7,3,14,45,224,2.25,0.146,1.0,37.333333333333336,35.355267463120214
17,Zack Wheeler,PHI,SP,2,2,6,6,0,38.2,31,15,15,4,12,41,218,3.49,0.225,1.11,36.333333333333336,31.455074611965617
18,Jack Flaherty,STL,SP,5,0,6,6,0,34.1,25,16,13,3,10,36,218,3.41,0.203,1.02,36.333333333333336,28.697942420598444
19,Aaron Nola,PHI,SP,2,1,6,6,0,37.2,31,13,13,3,5,39,215,3.11,0.218,0.96,35.833333333333336,21.06824092248332
20,Anthony DeSclafani,SF,SP,2,1,8,6,0,36.0,25,8,8,3,9,33,211,2.0,0.189,0.94,26.375,27.09546967698016
21,Carlos Rodón,CHW,SP,4,0,4,4,0,25.0,7,3,2,1,9,36,209,0.72,0.085,0.64,52.25,28.86938093780851
22,José Berríos,MIN,SP,3,2,6,6,0,32.2,24,13,13,2,9,42,207,3.58,0.207,1.01,34.5,27.172327521400618
23,Sandy Alcantara,MIA,SP,1,2,6,6,0,36.2,25,14,13,3,11,36,201,3.19,0.195,0.98,33.5,29.765937042627154
24,Dylan Bundy,LAA,SP,0,3,6,6,0,36.0,30,17,16,5,9,40,200,4.0,0.224,1.08,33.333333333333336,26.11691135022292
25,Aaron Civale,CLE,SP,4,0,6,6,0,39.1,29,15,14,5,12,28,196,3.2,0.209,1.04,32.666666666666664,31.237685602495297
26,Kyle Gibson,TEX,SP,3,0,6,6,0,33.1,27,9,8,0,11,27,195,2.16,0.22,1.14,32.5,29.751506658970303
27,Zach Eflin,PHI,SP,1,1,6,6,0,38.2,43,15,15,3,2,34,195,3.49,0.279,1.16,32.5,15.360907010868925
28,Pablo López,MIA,SP,0,2,7,6,0,34.2,28,10,9,3,10,34,195,2.34,0.22,1.1,27.857142857142854,27.90890049924981
29,Tyler Mahle,CIN,SP,1,1,6,6,0,30.2,23,12,11,5,11,41,192,3.23,0.207,1.11,32.0,29.575368809802008
30,Sean Manaea,OAK,SP,3,1,6,6,0,33.2,34,13,13,4,7,33,191,3.48,0.26,1.22,31.83333333333333,23.1207850720244
31,Ian Anderson,ATL,SP,2,1,6,6,0,33.0,26,12,12,3,14,36,191,3.27,0.215,1.21,31.83333333333333,33.98222373851696
32,Nathan Eovaldi,BOS,SP,4,2,6,6,0,34.2,33,14,14,0,7,32,190,3.64,0.248,1.15,31.66666666666667,23.463085376306665
33,Chris Bassitt,OAK,SP,2,2,6,6,0,34.1,32,15,15,3,12,36,190,3.93,0.244,1.28,31.66666666666667,30.490788283291852
34,Jon Gray,COL,SP,3,2,6,6,0,34.1,27,13,12,3,14,30,187,3.15,0.213,1.19,31.16666666666667,33.951631778739525
35,Charlie Morton,ATL,SP,2,1,6,6,0,33.2,29,19,19,4,12,39,181,5.08,0.23,1.22,30.16666666666667,30.09571091816815
36,Steven Matz,TOR,SP,4,2,6,6,0,32.0,29,17,17,5,10,33,180,4.78,0.238,1.22,30.0,27.22812895764752
37,Matthew Boyd,DET,SP,2,3,6,6,0,35.2,26,10,9,1,7,24,180,2.27,0.203,0.93,30.0,23.73251866427602
38,Tyler Anderson,PIT,SP,2,3,6,6,0,33.1,27,12,12,3,11,31,177,3.24,0.225,1.14,29.5,29.299294365253363
39,Zack Greinke,HOU,SP,2,1,6,6,0,36.2,36,14,14,5,6,27,177,3.44,0.259,1.15,29.5,21.20544645419669
40,Huascar Ynoa,ATL,RP,2,1,6,5,0,27.1,19,9,9,5,6,34,177,2.96,0.19,0.92,29.5,21.93307222151789
41,Walker Buehler,LAD,SP,1,0,5,5,0,31.1,28,11,11,4,2,31,176,3.16,0.237,0.96,35.2,15.475341053568922
42,Adam Wainwright,STL,SP,1,3,6,6,0,34.1,37,19,18,6,9,37,174,4.72,0.272,1.34,29.0,25.16830601152975
43,Lucas Giolito,CHW,SP,1,3,6,6,0,30.2,27,19,17,6,13,41,174,4.99,0.223,1.3,29.0,31.378213311620033
44,Cristian Javier,HOU,RP,3,0,5,5,0,25.2,15,5,5,1,8,30,174,1.75,0.17,0.9,34.8,25.770807872911853
45,José Ureña,DET,SP,1,4,6,6,0,35.2,29,16,14,1,16,28,171,3.53,0.221,1.26,28.5,36.25642201525109
46,Eduardo Rodriguez,BOS,SP,4,0,5,5,0,28.0,26,13,13,5,3,31,170,4.18,0.243,1.04,34.0,16.840807362281254
47,German Márquez,COL,SP,1,2,6,6,0,32.2,29,15,15,3,19,33,170,4.13,0.242,1.47,28.33333333333333,40.29198019734503
48,Marcus Stroman,NYM,SP,3,2,5,5,0,29.0,21,9,6,1,6,23,168,1.86,0.204,0.93,33.6,22.284910459230606
49,JT Brubaker,PIT,SP,2,2,5,5,0,27.1,23,8,8,4,5,30,168,2.63,0.225,1.02,33.6,20.35446856196484
50,Dustin May,LAD,RP,1,1,5,5,0,23.0,16,8,7,4,6,35,167,2.74,0.18600000000000005,0.96,33.4,21.884855491356547
51,Corey Kluber,NYY,SP,2,2,6,6,0,29.2,26,13,10,3,14,29,166,3.03,0.239,1.35,27.66666666666667,33.28031393110456
52,Lance Lynn,CHW,SP,2,1,4,4,0,24.2,20,7,5,2,4,29,166,1.82,0.215,0.97,41.5,19.132139677872303
53,Blake Snell,SD,SP,1,0,6,6,0,25.2,23,11,10,3,15,37,164,3.51,0.228,1.48,27.33333333333333,34.49123661666658
54,Jake Arrieta,CHC,SP,3,3,7,6,0,31.1,29,15,15,5,12,28,163,4.31,0.242,1.31,23.285714285714285,29.696133556888743
55,Mike Foltynewicz,TEX,SP,1,3,6,6,0,33.1,35,16,16,9,8,31,163,4.32,0.271,1.29,27.16666666666667,23.497579233507608
56,Michael Pineda,MIN,SP,2,1,5,5,0,27.1,19,9,7,5,6,27,162,2.31,0.19,0.92,32.4,21.95053012718085
57,Jose Urquidy,HOU,SP,2,2,6,6,0,34.0,31,14,14,4,8,27,161,3.71,0.24,1.15,26.83333333333333,24.140470343370303
58,Lance McCullers Jr.,HOU,SP,2,1,5,5,0,26.2,14,10,10,1,14,30,160,3.38,0.152,1.05,32.0,33.684271943663724
59,Madison Bumgarner,ARI,SP,3,2,7,6,0,30.2,28,19,19,4,10,33,156,5.58,0.241,1.24,22.285714285714285,26.365856934686434
60,Frankie Montas,OAK,SP,3,2,6,6,0,30.2,37,20,20,6,8,29,153,5.87,0.285,1.47,25.5,22.57340984612232
61,Hyun-Jin Ryu,TOR,SP,1,2,5,5,0,27.2,26,9,8,3,3,26,151,2.6,0.241,1.05,30.2,16.789153360654474
62,Nick Pivetta,BOS,RP,3,0,5,5,0,25.2,15,8,8,1,17,25,150,2.81,0.17600000000000002,1.25,30.0,38.031517198915395
63,Taijuan Walker,NYM,SP,1,1,6,5,0,27.0,19,10,9,1,15,27,149,3.0,0.2,1.26,24.83333333333333,34.47239352674904
64,Michael Kopech,CHW,SP,2,0,7,2,0,18.2,8,3,3,1,4,30,149,1.45,0.125,0.64,21.285714285714285,18.95567182628192
65,Carlos Martínez,STL,RP,2,4,6,6,0,36.1,28,16,15,2,9,20,148,3.72,0.209,1.02,24.66666666666667,25.624530038176026
66,Andrew Heaney,LAA,SP,1,2,5,5,0,24.0,18,14,14,4,9,34,146,5.25,0.207,1.13,29.2,24.879756988968342
67,Dylan Cease,CHW,SP,1,0,5,5,0,24.1,21,8,8,2,12,29,146,2.96,0.239,1.36,29.2,29.89109371907873
68,Dane Dunning,TEX,SP,1,2,6,6,0,28.1,27,13,12,1,7,29,146,3.81,0.243,1.2,24.33333333333333,22.280133231506326
69,Yusei Kikuchi,SEA,SP,1,1,5,5,0,30.2,24,15,15,5,11,27,146,4.4,0.214,1.14,29.2,27.989448100344887
70,Logan Webb,SF,SP,1,2,6,5,0,28.1,32,13,13,3,11,28,144,4.13,0.29100000000000004,1.52,24.0,27.36413513570939
71,Cole Irvin,OAK,SP,2,3,5,5,0,27.0,31,11,11,3,4,25,143,3.67,0.282,1.3,28.6,17.49891694845222
72,Garrett Richards,BOS,SP,1,2,6,6,0,28.2,29,16,14,3,14,29,141,4.4,0.257,1.5,23.5,32.06047180733276
73,Wade Miley,CIN,SP,3,2,5,5,0,27.0,19,8,8,3,7,19,140,2.67,0.188,0.96,28.0,23.032891690830198
74,Matt Harvey,BAL,SP,3,1,6,6,0,31.0,31,14,14,2,9,22,139,4.07,0.252,1.29,23.16666666666667,25.028567048142435
75,Austin Gomber,COL,RP,2,3,6,6,0,29.0,22,23,19,3,20,27,139,5.9,0.212,1.45,23.16666666666667,40.65667496978725
76,Brady Singer,KC,SP,1,3,5,5,0,23.1,19,12,8,2,9,26,138,3.09,0.21600000000000005,1.2,27.6,25.348463662394913
77,Justus Sheffield,SEA,SP,2,2,5,5,0,28.0,29,16,13,3,11,24,137,4.18,0.264,1.43,27.4,27.56434310925908
78,Adrian Houser,MIL,SP,2,3,6,6,0,30.2,29,15,12,4,11,21,135,3.52,0.259,1.3,22.5,28.0458126895925
79,Kenta Maeda,MIN,SP,2,2,6,6,0,28.2,38,19,17,7,7,28,135,5.34,0.311,1.57,22.5,20.767400604628193
80,David Peterson,NYM,SP,1,3,5,5,0,24.1,22,16,13,5,8,29,135,4.81,0.242,1.23,27.0,23.031538226939684
81,Zach Plesac,CLE,SP,1,3,6,6,0,32.0,31,17,17,4,7,24,135,4.78,0.25,1.19,22.5,21.55161249272689
82,Chris Flexen,SEA,SP,2,1,5,5,0,27.0,30,11,10,2,6,21,134,3.33,0.28800000000000003,1.33,26.8,20.345801227692775
83,John Gant,STL,RP,2,2,5,5,0,25.0,21,7,6,1,18,20,133,2.16,0.239,1.56,26.6,38.872439556482306
84,Alex Wood,SF,SP,3,0,3,3,0,18.0,9,3,3,1,3,20,131,1.5,0.14800000000000002,0.67,43.66666666666666,17.745726876031007
85,Trevor Williams,CHC,SP,2,2,6,6,0,27.0,33,18,18,5,14,29,130,6.0,0.3,1.74,21.66666666666667,30.96210496992382
86,Ryan Yarbrough,TB,RP,1,3,6,4,0,33.1,37,21,18,2,6,26,130,4.86,0.274,1.29,21.66666666666667,19.542376493853453
87,Jesús Luzardo,OAK,RP,1,3,6,6,0,28.0,33,21,18,5,12,30,130,5.79,0.289,1.61,21.66666666666667,28.107189709231598
88,Jakob Junis,KC,SP,1,2,7,4,0,25.0,24,14,14,3,8,29,130,5.04,0.253,1.28,18.571428571428573,22.393538175416467
89,Zac Gallen,ARI,SP,1,1,4,4,0,20.2,14,8,8,1,10,27,129,3.48,0.182,1.16,32.25,26.730622696869606
90,Michael Wacha,TB,SP,1,1,6,4,0,28.1,27,16,15,4,8,26,128,4.77,0.255,1.24,21.33333333333333,22.558979174607444
91,Mike Minor,KC,SP,2,1,5,5,0,25.2,25,16,15,6,10,27,125,5.26,0.248,1.36,25.0,25.651277934602383
92,Erick Fedde,WSH,RP,2,2,5,5,0,22.1,18,12,11,2,11,25,125,4.43,0.217,1.3,25.0,27.669713729765146
93,Jordan Montgomery,NYY,SP,1,1,5,5,0,26.2,21,13,13,5,8,24,123,4.39,0.214,1.09,24.6,23.20908706517377
94,Merrill Kelly,ARI,SP,2,2,6,6,0,32.2,39,22,21,5,9,24,123,5.79,0.302,1.47,20.5,23.654160145064544
95,Robbie Ray,TOR,SP,1,1,4,4,0,22.2,18,7,7,4,9,20,121,2.78,0.217,1.19,30.25,25.04463534848255
96,Jameson Taillon,NYY,SP,1,2,5,5,0,22.1,23,13,13,5,5,29,121,5.24,0.261,1.25,24.2,18.150619412070903
97,Aaron Sanchez,SF,SP,1,1,5,5,0,24.1,17,6,6,1,9,20,121,2.22,0.193,1.07,24.2,25.69798655390079
98,Jeff Hoffman,CIN,SP,2,1,6,5,0,24.1,21,10,9,3,12,19,119,3.33,0.236,1.36,19.83333333333333,29.101203922678273
99,Johnny Cueto,SF,SP,2,0,3,3,0,20.0,13,4,4,0,4,18,118,1.8,0.191,0.85,39.333333333333336,18.55215513012567
100,Marco Gonzales,SEA,SP,1,3,5,5,0,28.1,27,17,17,6,11,23,117,5.4,0.25,1.34,23.4,26.84523817255255
101,James Karinchak,CLE,RP,0,0,14,0,2,13.0,3,1,1,1,2,27,117,0.69,0.068,0.39,8.357142857142858,14.411565631979881
102,Rich Hill,TB,SP,1,1,6,6,0,25.1,23,18,18,5,8,28,116,6.4,0.245,1.22,19.33333333333333,22.17114693171867
103,Giovanny Gallegos,STL,RP,2,1,14,0,1,16.2,6,4,4,1,4,22,116,2.16,0.111,0.6,8.285714285714286,16.61131105968206
104,Caleb Smith,ARI,SP,2,1,10,1,0,17.2,13,7,6,2,9,23,116,3.06,0.203,1.25,11.6,23.565441967931
105,Bruce Zimmermann,BAL,SP,1,3,6,6,0,30.0,39,19,18,7,10,22,116,5.4,0.322,1.63,19.33333333333333,24.724689365246444
106,Luke Weaver,ARI,SP,1,2,5,5,0,25.2,24,14,14,5,9,23,114,4.91,0.247,1.29,22.8,24.052429271356836
107,Taylor Widener,ARI,SP,1,0,4,4,0,22.1,19,8,7,4,6,18,114,2.82,0.229,1.12,28.5,20.368129799556446
108,J.A. Happ,MIN,SP,2,0,4,4,0,23.0,12,5,5,2,7,13,113,1.96,0.15,0.83,28.25,22.851564330228513
109,Matt Barnes,BOS,RP,1,0,14,0,6,14.1,6,4,4,1,3,25,112,2.51,0.118,0.63,8.0,14.71160647512443
110,Luis Castillo,CIN,SP,1,3,6,6,0,29.2,40,24,20,5,8,24,111,6.07,0.328,1.62,18.5,21.413680515787508
111,Domingo Germán,NYY,SP,2,2,4,4,0,20.0,22,10,9,4,4,19,110,4.05,0.262,1.3,27.5,16.653427850603784
112,Craig Stammen,SD,RP,1,1,12,0,1,19.1,15,5,5,3,4,20,109,2.33,0.211,0.98,9.083333333333334,15.89339842859481
113,Griffin Canning,LAA,SP,2,2,5,4,0,20.1,20,15,14,6,7,26,109,6.2,0.253,1.33,21.8,20.322334882338005
114,Adbert Alzolay,CHC,SP,1,2,4,4,0,21.0,13,11,11,3,6,23,109,4.71,0.17600000000000002,0.91,27.25,20.183214945053894
115,Casey Mize,DET,SP,1,3,5,5,0,26.2,27,15,15,5,10,20,109,5.06,0.267,1.39,21.8,25.18800485145981
116,Aroldis Chapman,NYY,RP,1,0,10,0,6,10.0,2,0,0,0,3,24,108,0.0,0.061,0.5,10.8,16.668999596135393
117,Vince Velasquez,PHI,SP,1,0,6,3,0,18.1,17,10,10,5,13,24,107,4.91,0.239,1.64,17.833333333333332,28.86995113116727
118,Joe Ross,WSH,SP,2,1,4,4,0,21.1,19,11,11,5,7,18,105,4.64,0.247,1.22,26.25,20.996391366701175
119,Lou Trivino,OAK,RP,1,0,15,0,5,17.0,11,4,3,2,7,19,105,1.59,0.18,1.06,7.0,20.072308788020948
120,José De León,CIN,RP,0,1,8,2,0,16.2,19,14,14,4,10,32,104,7.56,0.271,1.74,13.0,22.561005147175486
121,Triston McKenzie,CLE,SP,0,1,5,4,0,18.2,14,13,13,5,18,29,104,6.27,0.212,1.71,20.8,36.199276319053666
122,Dallas Keuchel,CHW,SP,1,1,6,6,0,31.0,30,18,16,3,11,16,103,4.65,0.254,1.32,17.166666666666668,26.862042424440567
123,Yusmeiro Petit,OAK,RP,4,0,15,0,0,17.1,13,2,2,1,3,11,103,1.04,0.206,0.92,6.866666666666666,14.638512036906654
124,Jonathan Loaisiga,NYY,SP,2,1,12,0,1,16.1,10,3,2,1,3,16,103,1.1,0.175,0.8,8.583333333333334,15.196381511293234
125,Michael Fulmer,DET,SP,1,1,7,3,0,21.0,16,9,9,3,6,20,102,3.86,0.203,1.05,14.571428571428573,19.46733249146949
126,Luis Garcia,HOU,SP,0,3,5,3,0,20.0,14,6,6,3,7,20,102,2.7,0.194,1.05,20.4,21.77305362025455
127,Tim Hill,SD,RP,2,2,16,0,0,13.2,10,9,2,3,4,18,101,1.32,0.179,1.02,6.3125,15.510139939872111
128,Antonio Senzatela,COL,SP,1,3,6,6,0,29.2,37,21,19,5,9,18,100,5.76,0.298,1.55,16.666666666666668,22.894857104144926
129,Chris Paddack,SD,SP,1,3,5,5,0,23.1,25,19,14,2,7,22,100,5.4,0.26,1.37,20.0,20.49215623611558
130,Ryan Weathers,SD,SP,1,0,7,3,1,16.1,4,1,1,1,6,16,100,0.55,0.08,0.61,14.285714285714285,21.540679312096174
131,Tejay Antone,CIN,SP,1,0,9,0,1,15.1,6,5,5,2,8,21,100,2.94,0.118,0.91,11.111111111111109,22.24739342786592
132,Martin Pérez,BOS,SP,0,2,5,5,0,23.0,25,13,12,1,9,22,99,4.7,0.278,1.48,19.8,23.576455004790184
133,Scott Barlow,KC,RP,1,0,14,0,1,16.0,16,5,5,0,7,20,99,2.81,0.254,1.44,7.071428571428571,19.064200910488324
134,Josh Hader,MIL,RP,2,0,11,0,7,10.2,3,1,1,0,5,19,98,0.84,0.083,0.75,8.909090909090908,18.618477526603662
135,Garrett Whitlock,BOS,SP,0,0,7,0,0,14.1,8,1,1,1,2,19,97,0.63,0.157,0.7,13.857142857142858,14.57977696220148
136,Trevor Cahill,PIT,SP,1,3,5,5,0,24.1,29,21,20,3,8,24,95,7.4,0.293,1.52,19.0,20.905503597478262
137,Dillon Maples,CHC,RP,0,0,9,0,0,12.2,4,2,2,1,9,21,95,1.42,0.098,1.03,10.555555555555557,24.080987061787567
138,Chris Rodriguez,LAA,SP,2,0,7,0,0,14.2,9,4,4,0,8,17,95,2.46,0.173,1.16,13.571428571428573,22.35822185394307
139,Jordan Lyles,TEX,SP,1,2,6,6,0,28.0,37,23,23,8,8,23,94,7.39,0.316,1.61,15.666666666666664,20.63660896056088
140,Héctor Neris,PHI,RP,1,3,15,0,6,14.1,11,4,3,2,4,18,94,1.88,0.204,1.05,6.2666666666666675,15.318713281243648
141,Alex Reyes,STL,RP,1,0,14,0,8,14.1,6,0,0,0,12,15,94,0.0,0.122,1.26,6.7142857142857135,28.073507915371785
142,Emmanuel Clase,CLE,RP,2,1,14,0,6,13.1,10,3,0,0,3,14,94,0.0,0.189,0.98,6.7142857142857135,14.869153471703815
143,Duane Underwood Jr.,PIT,RP,1,0,11,0,0,15.0,14,7,6,1,5,20,93,3.6,0.237,1.27,8.454545454545455,16.316099699776487
