Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,TB,AVG,OBP,SLG,OPS,ISO,PTS,FPPG,Projected_FPPG
Mark Payton,CIN,OF,23,21,2,4,0,0,0,0,2,7,0,0,4,0.19,0.261,0.19,0.451,0.0,24.4,1.0608695652173912,2.8544153249304944
Andy Ibáñez,TEX,3B,9,21,0,3,1,0,0,2,1,4,0,0,4,0.14300000000000002,0.174,0.19,0.364,0.047,22.0,2.4444444444444446,2.9155246611449837
Ronald Guzmán,TEX,1B,7,16,1,1,0,0,1,1,1,6,0,0,4,0.062,0.118,0.25,0.368,0.188,21.7,3.1,3.7259424723564347
Mike Freeman,CIN,2B,6,15,1,3,0,0,0,1,2,3,0,0,3,0.2,0.294,0.2,0.494,0.0,21.7,3.6166666666666663,3.973313460647188
Luis Garcia,WSH,SS,9,12,2,2,0,1,0,0,1,4,0,0,4,0.16699999999999998,0.231,0.333,0.564,0.166,21.4,2.3777777777777778,4.965153394062403
Adam Haseley,PHI,OF,9,21,2,4,1,0,0,0,0,4,0,0,5,0.19,0.19,0.238,0.428,0.048,21.4,2.3777777777777778,3.2939375486373597
Nick Martini,CHC,OF,12,12,2,1,0,0,0,1,2,3,0,0,1,0.083,0.2,0.083,0.28300000000000003,0.0,18.9,1.575,2.1553381504900626
Alexander Goti,HOU,SS,2,6,2,2,0,0,0,1,1,2,0,0,2,0.333,0.429,0.333,0.762,0.0,18.9,9.45,6.136251171863618
Austin Allen,OAK,C,2,6,1,1,0,0,1,1,0,2,0,0,4,0.16699999999999998,0.16699999999999998,0.667,0.8340000000000001,0.5,18.7,9.35,8.621642840052179
Cole Tucker,PIT,SS,8,15,1,2,1,0,0,1,1,4,0,0,3,0.133,0.188,0.2,0.388,0.067,18.7,2.3375,3.2448656983155795
Keibert Ruiz,LAD,C,6,7,1,1,0,0,1,1,0,5,0,0,4,0.14300000000000002,0.14300000000000002,0.5710000000000001,0.7140000000000001,0.428,18.7,3.1166666666666667,7.208153897190166
Mason Williams,NYM,OF,8,16,1,3,0,0,0,0,2,3,0,0,3,0.188,0.278,0.188,0.466,0.0,18.2,2.275,3.6369322417124814
Rafael Marchan,PHI,C,4,13,1,3,1,0,0,0,1,4,0,0,4,0.231,0.28600000000000003,0.308,0.594,0.077,18.2,4.55,4.992112554026253
Khalil Lee,NYM,OF,11,18,2,1,1,0,0,1,0,13,0,0,2,0.056,0.056,0.111,0.16699999999999998,0.055,15.9,1.4454545454545455,1.3049919181894332
Austin Wynns,BAL,C,3,13,2,2,0,0,0,1,0,3,0,0,2,0.154,0.154,0.154,0.308,0.0,15.9,5.3,2.383536645298066
Vimael Machín,OAK,2B,9,20,1,1,0,0,0,1,2,7,0,0,1,0.05,0.136,0.05,0.18600000000000005,0.0,15.7,1.7444444444444445,1.567558715334835
John Andreoli,SD,OF,7,6,2,1,1,0,0,0,1,3,0,0,2,0.16699999999999998,0.28600000000000003,0.333,0.619,0.166,15.4,2.2,5.614643739124274
Nick Williams,CHW,OF,4,10,2,0,0,0,0,0,1,4,0,0,0,0.0,0.231,0.0,0.231,0.0,15.4,3.85,2.4872952752150876
John Nogowski,STL,1B,18,17,2,1,0,0,0,0,1,2,0,0,1,0.059,0.158,0.059,0.217,0.0,15.4,0.8555555555555556,1.3474792867449148
Eric Campbell,SEA,1B,4,11,1,3,0,0,0,0,1,1,0,0,3,0.273,0.333,0.273,0.606,0.0,15.2,3.8,4.71654916378778
Kevin Padlo,TB,3B,9,12,1,1,1,0,0,0,2,8,0,0,2,0.083,0.214,0.16699999999999998,0.381,0.084,15.2,1.6888888888888889,3.442202935572176
Anderson Tejeda,TEX,SS,5,16,1,1,0,0,0,0,1,10,1,0,1,0.062,0.118,0.062,0.18,0.0,15.2,3.04,1.5741455914125657
Geraldo Perdomo,ARI,SS,4,10,1,1,0,0,0,0,3,2,0,0,1,0.1,0.308,0.1,0.408,0.0,15.2,3.8,3.712482800152168
Jason Martin,TEX,OF,12,19,0,3,0,0,0,0,0,9,1,0,3,0.158,0.158,0.158,0.316,0.0,15.0,1.25,2.0788385381518397
Austin Romine,CHC,C,6,9,1,1,1,0,0,1,0,3,0,0,2,0.111,0.111,0.222,0.333,0.111,12.7,2.1166666666666667,2.851901842086587
Garrett Stubbs,HOU,C,3,5,1,1,0,0,0,1,1,0,0,0,1,0.2,0.333,0.2,0.5329999999999999,0.0,12.7,4.233333333333333,4.41085550340145
Wilfredo Tovar,NYM,SS,6,11,0,2,0,0,0,1,1,4,0,0,2,0.182,0.25,0.182,0.4320000000000001,0.0,12.5,2.083333333333333,3.34166447883884
Ronnie Dawson,HOU,OF,3,5,2,1,0,0,0,0,1,0,0,0,1,0.2,0.333,0.2,0.5329999999999999,0.0,12.4,4.133333333333334,4.411555520524411
Hernán Pérez,WSH,2B,10,19,1,1,0,0,0,0,2,10,0,0,1,0.053,0.14300000000000002,0.053,0.196,0.0,12.2,1.22,1.5843760843951182
Travis Jankowski,PHI,OF,5,6,1,3,0,0,0,0,0,1,0,0,3,0.5,0.5,0.5,1.0,0.0,12.2,2.44,7.425769953644537
Travis Blankenhorn,NYM,2B,7,7,1,1,1,0,0,0,1,2,0,0,2,0.14300000000000002,0.25,0.28600000000000003,0.536,0.14300000000000002,12.2,1.7428571428571429,4.810494917340001
Adam Engel,CHW,OF,2,4,0,0,0,0,0,0,1,2,1,0,0,0.0,0.333,0.0,0.333,0.0,12.0,6.0,3.58542941260964
Ivan Castillo,SD,SS,3,3,0,1,0,0,0,1,1,0,0,0,1,0.333,0.5,0.333,0.833,0.0,9.5,3.1666666666666665,6.778078832528786
Chadwick Tromp,SF,C,2,5,0,2,0,0,0,1,0,1,0,0,2,0.4,0.4,0.4,0.8,0.0,9.5,4.75,6.028743760057382
Albert Almora Jr.,NYM,OF,20,21,1,1,0,0,0,0,1,8,0,0,1,0.048,0.091,0.048,0.139,0.0,9.2,0.46,0.53151188735026
Johan Camargo,ATL,3B,14,15,1,0,0,0,0,0,2,6,0,0,0,0.0,0.118,0.0,0.118,0.0,9.2,0.6571428571428571,0.8186269025609914
Ryan McBroom,KC,1B,5,6,1,1,0,0,0,0,1,5,0,0,1,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.453,0.0,9.2,1.84,3.6687147152367774
