Rank,Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PTS
135,Wil Myers,SD,LF,52,164,19,40,7,0,6,23,20,45,4,3,0.244,0.324,0.396,0.72,420.3
135,Kolten Wong,MIL,2B,44,161,24,45,12,1,4,15,12,27,5,3,0.28,0.343,0.441,0.784,420.3
137,David Fletcher,LAA,3B,57,223,33,60,7,1,0,17,10,26,3,1,0.269,0.299,0.309,0.608,420.1
138,Marcell Ozuna,ATL,LF,48,188,21,40,6,0,7,26,19,46,0,0,0.213,0.288,0.356,0.644,419.2
139,Miguel Sanó,MIN,3B,45,153,21,25,4,0,11,28,21,68,0,0,0.163,0.267,0.405,0.672,417.2
140,Josh Bell,WSH,1B,47,161,28,35,8,0,8,24,13,45,0,0,0.217,0.278,0.416,0.694,416.6
140,Alec Bohm,PHI,3B,58,210,23,45,7,0,4,26,14,63,3,0,0.214,0.259,0.305,0.564,416.6
142,Christian Vázquez,BOS,C,53,182,23,46,10,0,3,24,11,38,5,1,0.253,0.292,0.357,0.649,415.6
143,Josh Fuentes,COL,3B,57,177,22,45,11,1,5,27,10,43,0,0,0.254,0.293,0.412,0.705,413.9
144,Gavin Lux,LAD,2B,50,176,24,42,6,2,5,25,13,45,1,1,0.239,0.292,0.381,0.673,413.3
145,Jean Segura,PHI,SS,43,158,22,51,10,1,3,13,13,23,6,0,0.323,0.379,0.456,0.835,412.9
146,Jazz Chisholm,MIA,SS,37,138,20,37,5,1,7,16,11,51,9,2,0.268,0.333,0.471,0.804,411
147,Myles Straw,HOU,CF,57,192,21,46,7,1,0,19,21,42,7,4,0.24,0.318,0.286,0.604,409.7
148,Giancarlo Stanton,NYY,DH,42,160,16,41,6,0,9,24,17,52,0,0,0.256,0.328,0.462,0.79,408.2
149,Corey Dickerson,MIA,LF,57,186,25,49,11,3,2,14,14,43,2,3,0.263,0.324,0.387,0.711,408
150,Mike Zunino,TB,C,41,124,22,25,4,0,12,25,14,54,0,0,0.202,0.298,0.524,0.822,403.9
151,Michael Brantley,HOU,LF,42,171,26,52,15,1,3,15,10,22,0,1,0.304,0.344,0.456,0.8,402.7
152,Carson Kelly,ARI,C,41,122,19,33,4,0,7,23,25,33,0,0,0.27,0.403,0.475,0.878,402.3
153,Niko Goodrum,DET,3B,50,169,23,36,4,1,4,12,17,70,11,3,0.213,0.291,0.32,0.611,400.6
154,Corey Seager,LAD,SS,37,147,20,39,7,2,4,22,19,29,1,0,0.265,0.361,0.422,0.783,399
155,Yadier Molina,STL,C,41,148,18,41,11,0,7,27,9,33,0,0,0.277,0.314,0.493,0.807,398.1
156,Jorge Soler,KC,RF,55,184,19,32,11,0,5,25,20,65,0,0,0.174,0.265,0.315,0.58,394.3
157,Max Kepler,MIN,RF,37,132,20,28,9,2,5,22,16,28,5,0,0.212,0.303,0.424,0.727,393
158,Brandon Belt,SF,1B,41,118,21,29,4,0,8,21,22,46,2,1,0.246,0.366,0.483,0.849,392.7
159,Lourdes Gurriel Jr.,TOR,LF,53,196,20,51,10,0,5,20,7,43,1,1,0.26,0.284,0.388,0.672,392
160,Travis Shaw,MIL,3B,55,177,14,34,8,0,6,28,19,50,0,0,0.192,0.28,0.339,0.619,388.8
161,C.J. Cron,COL,1B,46,143,22,37,7,1,5,18,20,43,0,0,0.259,0.365,0.427,0.792,388.4
162,Josh Harrison,WSH,2B,47,170,18,45,7,0,4,18,14,24,2,3,0.265,0.346,0.376,0.722,387.6
163,Kike Hernández,BOS,2B,47,177,28,41,10,1,5,13,12,46,1,0,0.232,0.286,0.384,0.67,387.1
164,Josh Naylor,CLE,LF,53,184,22,47,11,0,5,15,11,39,1,0,0.255,0.305,0.397,0.702,386.9
165,Tucker Barnhart,CIN,C,46,140,26,37,12,0,3,19,17,48,0,0,0.264,0.358,0.414,0.772,386.7
166,Joc Pederson,CHC,RF,46,160,20,38,4,2,6,21,15,50,0,2,0.238,0.313,0.4,0.713,386.5
167,Ian Happ,CHC,CF,49,162,20,31,5,0,7,16,26,55,1,1,0.191,0.314,0.352,0.666,384
168,Garrett Cooper,MIA,1B,52,165,17,41,7,1,5,22,16,52,0,1,0.248,0.326,0.394,0.72,383.4
169,Byron Buxton,MIN,CF,24,92,19,34,10,0,9,17,4,23,5,0,0.37,0.408,0.772,1.18,381.3
170,Willi Castro,DET,SS,48,170,21,38,7,2,4,19,11,51,2,0,0.224,0.289,0.359,0.648,376.7
171,Dominic Smith,NYM,1B,50,173,14,45,7,0,4,20,15,48,2,1,0.26,0.33,0.37,0.7,375.8
172,Jacob Stallings,PIT,C,45,148,14,35,11,1,4,25,20,36,0,0,0.236,0.331,0.405,0.736,375.3
173,Austin Slater,SF,RF,52,132,18,29,2,1,7,17,18,51,7,2,0.22,0.313,0.409,0.722,375.1
174,Jonathan Villar,NYM,2B,48,141,21,34,5,1,5,14,17,38,6,4,0.241,0.327,0.397,0.724,374.2
175,José Iglesias,LAA,SS,48,177,22,47,6,0,5,18,6,30,2,1,0.266,0.297,0.384,0.681,373.4
176,Akil Baddoo,DET,CF,45,116,14,27,6,4,5,20,18,48,6,0,0.233,0.331,0.483,0.814,372.8
177,Omar Narváez,MIL,C,42,130,18,41,7,0,6,17,15,26,0,0,0.315,0.4,0.508,0.908,372.1
178,Gary Sánchez,NYY,C,44,143,18,31,6,0,7,17,22,48,0,0,0.217,0.333,0.406,0.739,366.1
179,Gregory Polanco,PIT,RF,48,162,17,33,6,1,5,17,17,57,5,0,0.204,0.272,0.346,0.618,362.9
179,Andrew Vaughn,CHW,1B,46,148,22,34,12,0,5,15,15,46,0,0,0.23,0.312,0.412,0.724,362.9
181,Starlin Castro,WSH,2B,57,213,13,52,8,0,2,20,17,46,0,0,0.244,0.296,0.31,0.606,360.6
182,Willie Calhoun,TEX,LF,44,160,18,41,7,1,5,15,16,20,0,2,0.256,0.328,0.406,0.734,356.1
183,DJ Stewart,BAL,RF,46,131,19,30,5,0,6,19,21,37,0,0,0.229,0.344,0.405,0.749,355.3
184,Brad Miller,PHI,3B,47,117,20,33,3,1,6,19,12,43,3,0,0.282,0.349,0.479,0.828,352.5
185,Asdrúbal Cabrera,ARI,3B,38,117,18,33,9,0,4,19,19,26,1,0,0.282,0.381,0.462,0.843,352.1
186,Nicky Lopez,KC,2B,54,147,25,33,6,3,0,10,21,24,5,0,0.224,0.322,0.306,0.628,346
187,Starling Marte,MIA,CF,25,91,21,31,6,1,4,11,14,23,6,2,0.341,0.44,0.56,1,345.7
188,Mitch Garver,MIN,C,41,116,17,26,8,0,8,17,19,45,0,0,0.224,0.333,0.5,0.833,344.9
189,Victor Caratini,SD,C,46,126,18,28,5,0,4,22,17,42,2,0,0.222,0.327,0.357,0.684,341.6
190,Hunter Dozier,KC,3B,43,151,18,24,7,2,7,19,13,52,1,1,0.159,0.23,0.371,0.601,340.1
191,Bobby Dalbec,BOS,3B,49,162,13,30,8,1,6,24,10,65,1,0,0.185,0.237,0.358,0.595,338.6
192,Dylan Moore,SEA,SS,41,119,14,20,7,0,5,19,16,43,8,1,0.168,0.27,0.353,0.623,336.3
193,Albert Pujols,LAD,1B,40,134,14,28,2,0,9,24,6,22,1,0,0.209,0.264,0.425,0.689,335.8
194,Anthony Rendon,LAA,3B,40,151,16,35,7,0,3,23,16,27,0,0,0.232,0.308,0.338,0.646,335.7
195,Alex Dickerson,SF,LF,51,133,17,30,3,1,6,22,10,31,1,0,0.226,0.295,0.398,0.693,335.4
196,Odúbel Herrera,PHI,CF,38,133,17,36,7,1,4,14,12,25,3,0,0.271,0.338,0.429,0.767,334.4
197,Austin Hays,BAL,RF,32,123,24,31,6,2,5,15,10,27,0,0,0.252,0.319,0.455,0.774,333.3
198,Marwin Gonzalez,BOS,3B,50,166,17,33,12,0,2,15,13,43,2,0,0.199,0.283,0.307,0.59,331.9
199,David Bote,CHC,3B,49,144,16,29,5,0,5,23,13,36,0,1,0.201,0.28,0.34,0.62,326.7
200,Leury García,CHW,CF,48,155,22,37,6,2,0,19,12,42,2,1,0.239,0.292,0.303,0.595,325.9
201,Ha-Seong Kim,SD,SS,52,144,15,30,6,2,3,18,9,37,5,1,0.208,0.266,0.34,0.606,324
202,Clint Frazier,NYY,RF,51,152,15,29,5,0,5,11,24,50,2,0,0.191,0.309,0.322,0.631,323.5
203,Seth Brown,OAK,LF,48,124,17,24,5,0,8,21,12,36,0,0,0.194,0.265,0.427,0.692,322.9
204,Paul DeJong,STL,SS,35,124,18,22,3,0,7,17,15,32,2,0,0.177,0.277,0.371,0.648,318.1
205,Miguel Cabrera,DET,1B,43,160,14,32,2,0,5,22,14,41,0,0,0.2,0.271,0.306,0.577,316.8
206,James McCann,NYM,C,45,149,12,34,4,0,6,21,12,45,0,0,0.228,0.286,0.376,0.662,315.9
207,Luis Arraez,MIN,2B,39,141,20,39,3,1,1,14,17,18,0,1,0.277,0.358,0.333,0.691,311
208,Dom Nuñez,COL,C,40,116,18,20,6,2,5,20,16,52,0,0,0.172,0.271,0.388,0.659,310.6
209,Brett Phillips,TB,RF,47,112,15,25,6,0,3,15,16,54,7,2,0.223,0.318,0.357,0.675,310.5
210,Jackie Bradley Jr.,MIL,CF,52,172,17,27,3,2,5,14,10,61,2,1,0.157,0.226,0.285,0.511,310.4
211,Jordan Luplow,CLE,RF,36,98,12,17,5,0,7,20,21,31,0,2,0.173,0.331,0.439,0.77,306.4
212,Nick Ahmed,ARI,SS,51,167,14,38,12,1,1,9,14,49,3,1,0.228,0.291,0.329,0.62,304.3
212,Tyler Stephenson,CIN,C,46,123,19,32,6,0,3,13,16,27,0,0,0.26,0.359,0.382,0.741,304.3
214,Andrelton Simmons,MIN,SS,45,151,17,39,5,0,2,13,17,30,0,0,0.258,0.337,0.331,0.668,303.9
215,Colin Moran,PIT,3B,34,119,10,35,8,0,4,20,10,36,1,0,0.294,0.346,0.462,0.808,303
216,Kyle Lewis,SEA,RF,36,130,15,32,4,0,5,11,16,37,2,0,0.246,0.333,0.392,0.725,302.5
217,Matt Beaty,LAD,1B,47,91,17,26,3,0,3,26,10,19,0,1,0.286,0.381,0.418,0.799,301.4
218,Victor Robles,WSH,CF,47,136,15,30,9,1,0,6,17,39,6,3,0.221,0.338,0.301,0.639,300
219,Wilmer Flores,SF,2B,51,129,16,30,5,1,3,16,15,22,1,0,0.233,0.315,0.357,0.672,299.2
220,Jon Berti,MIA,3B,52,133,19,25,6,1,2,10,19,36,4,3,0.188,0.292,0.293,0.585,296.8
221,Yan Gomes,WSH,C,37,132,16,34,5,1,5,17,4,22,0,0,0.258,0.29,0.424,0.714,296.7
222,AJ Pollock,LAD,CF,36,107,15,29,6,0,4,19,8,26,2,0,0.271,0.328,0.439,0.767,294.5
223,Erik González,PIT,SS,54,181,14,39,6,0,2,17,8,30,2,0,0.215,0.249,0.282,0.531,293.3
223,Kyle Farmer,CIN,2B,56,150,14,31,4,0,4,17,8,28,1,2,0.207,0.273,0.313,0.586,293.3
