Rank,Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PTS
453,René Rivera,CLE,C,12,28,2,7,2,0,0,2,1,11,0,0,0.25,0.276,0.321,0.597,43.4
454,Matt Adams,COL,1B,17,31,3,5,1,0,0,1,4,8,0,0,0.161,0.257,0.194,0.451,43.1
454,Nick Heath,ARI,CF,13,31,3,5,1,0,0,1,4,11,0,1,0.161,0.257,0.194,0.451,43.1
456,Derek Hill,DET,CF,6,12,2,3,0,0,0,1,2,3,3,1,0.25,0.357,0.25,0.607,42.9
457,Patrick Mazeika,NYM,C,12,14,1,3,0,0,1,4,1,2,0,0,0.214,0.312,0.429,0.741,41.2
458,Jack Mayfield,SEA,2B,14,37,2,6,1,0,0,3,1,12,0,0,0.162,0.184,0.189,0.373,40.9
459,Luis Guillorme,NYM,SS,14,18,2,6,0,0,0,0,5,1,0,0,0.333,0.478,0.333,0.811,39.4
460,Dexter Fowler,LAA,RF,7,20,3,5,0,0,0,1,1,6,1,0,0.25,0.286,0.25,0.536,37.1
461,Zack Short,DET,SS,5,11,2,3,0,0,0,0,5,6,1,0,0.273,0.5,0.273,0.773,36.4
462,Anthony Bemboom,LAA,C,8,27,2,6,0,0,0,2,1,10,0,0,0.222,0.25,0.222,0.472,34.4
462,Troy Stokes Jr.,PIT,LF,8,18,2,2,1,0,0,2,1,5,1,0,0.111,0.2,0.167,0.367,34.4
464,Brent Rooker,MIN,LF,8,29,1,3,1,0,1,2,1,13,0,0,0.103,0.133,0.241,0.374,34.2
464,José Godoy,SEA,C,11,27,1,5,1,0,0,2,2,9,0,0,0.185,0.241,0.222,0.463,34.2
466,Owen Miller,CLE,SS,13,42,2,5,1,0,0,1,2,20,0,0,0.119,0.159,0.143,0.302,33.9
467,Webster Rivas,SD,C,6,20,1,4,0,0,1,1,2,3,0,0,0.2,0.273,0.35,0.623,33.7
468,Tony Wolters,CHC,C,14,24,3,3,0,0,0,0,5,12,0,1,0.125,0.276,0.125,0.401,33.6
469,Anthony Alford,PIT,CF,11,24,2,2,0,0,0,0,4,16,1,1,0.083,0.241,0.083,0.324,33.4
470,Drew Butera,LAA,C,12,32,1,3,1,0,0,5,0,16,0,0,0.094,0.091,0.125,0.216,32.7
471,Kevan Smith,ATL,C,7,15,4,4,0,0,0,1,1,7,0,0,0.267,0.312,0.267,0.579,31.3
472,Luke Maile,MIL,C,8,19,1,4,1,0,0,1,2,6,0,0,0.211,0.318,0.263,0.581,30.7
472,Kean Wong,LAA,2B,9,21,1,4,1,1,0,1,1,7,0,0,0.19,0.227,0.333,0.56,30.7
474,José Rondón,STL,SS,8,19,3,4,0,0,0,0,3,5,0,0,0.211,0.318,0.211,0.529,30.6
475,Cameron Maybin,NYM,LF,9,28,2,1,0,0,0,0,3,12,1,0,0.036,0.182,0.036,0.218,30.4
475,Edward Olivares,KC,CF,5,18,2,5,0,0,0,0,0,5,1,0,0.278,0.316,0.278,0.594,30.4
477,Patrick Kivlehan,SD,RF,5,4,3,1,0,0,0,2,2,3,0,0,0.25,0.5,0.25,0.75,28.6
478,Robel García,HOU,2B,16,26,1,4,0,0,0,2,2,10,0,0,0.154,0.214,0.154,0.368,28.2
479,Scott Schebler,LAA,RF,11,27,2,4,3,0,0,0,0,11,0,0,0.148,0.148,0.259,0.407,27.4
480,Jonathan Lucroy,WSH,C,5,14,0,5,1,0,0,2,0,2,0,0,0.357,0.357,0.429,0.786,25
481,Jon Jay,LAA,CF,5,14,2,5,0,0,0,1,0,2,0,0,0.357,0.357,0.357,0.714,24.9
481,Jonathan Araúz,BOS,SS,4,8,2,2,1,0,0,1,2,3,0,0,0.25,0.4,0.375,0.775,24.9
483,Scott Heineman,CIN,CF,9,11,1,1,0,0,1,1,1,4,0,0,0.091,0.231,0.364,0.595,24.7
484,Luis Campusano,SD,C,11,34,0,3,0,0,0,1,4,11,0,0,0.088,0.184,0.088,0.272,24.5
485,M. Payton,CIN,CF,23,21,2,4,0,0,0,0,2,7,0,0,0.19,0.261,0.19,0.451,24.4
485,Alex Jackson,ATL,C,10,23,2,1,0,0,0,0,2,13,0,0,0.043,0.214,0.043,0.257,24.4
485,Mark Payton,CIN,LF,23,21,2,4,0,0,0,0,2,7,0,0,0.19,0.261,0.19,0.451,24.4
488,Andy Ibáñez,TEX,3B,9,21,0,3,1,0,0,2,1,4,0,0,0.143,0.174,0.19,0.364,22
489,Ronald Guzmán,TEX,1B,7,16,1,1,0,0,1,1,1,6,0,0,0.062,0.118,0.25,0.368,21.7
489,Mike Freeman,CIN,2B,6,15,1,3,0,0,0,1,2,3,0,0,0.2,0.294,0.2,0.494,21.7
491,Luis Garcia,WSH,SS,9,12,2,2,0,1,0,0,1,4,0,0,0.167,0.231,0.333,0.564,21.4
491,Adam Haseley,PHI,CF,9,21,2,4,1,0,0,0,0,4,0,0,0.19,0.19,0.238,0.428,21.4
493,Nick Martini,CHC,LF,12,12,2,1,0,0,0,1,2,3,0,0,0.083,0.2,0.083,0.283,18.9
493,Alexander Goti,HOU,SS,2,6,2,2,0,0,0,1,1,2,0,0,0.333,0.429,0.333,0.762,18.9
495,Austin Allen,OAK,C,2,6,1,1,0,0,1,1,0,2,0,0,0.167,0.167,0.667,0.834,18.7
495,Cole Tucker,PIT,SS,8,15,1,2,1,0,0,1,1,4,0,0,0.133,0.188,0.2,0.388,18.7
495,Keibert Ruiz,LAD,C,6,7,1,1,0,0,1,1,0,5,0,0,0.143,0.143,0.571,0.714,18.7
498,Mason Williams,NYM,CF,8,16,1,3,0,0,0,0,2,3,0,0,0.188,0.278,0.188,0.466,18.2
498,Rafael Marchan,PHI,C,4,13,1,3,1,0,0,0,1,4,0,0,0.231,0.286,0.308,0.594,18.2
500,Khalil Lee,NYM,CF,11,18,2,1,1,0,0,1,0,13,0,0,0.056,0.056,0.111,0.167,15.9
500,Austin Wynns,BAL,C,3,13,2,2,0,0,0,1,0,3,0,0,0.154,0.154,0.154,0.308,15.9
502,Vimael Machín,OAK,2B,9,20,1,1,0,0,0,1,2,7,0,0,0.05,0.136,0.05,0.186,15.7
503,John Andreoli,SD,LF,7,6,2,1,1,0,0,0,1,3,0,0,0.167,0.286,0.333,0.619,15.4
503,Nick Williams,CHW,LF,4,10,2,0,0,0,0,0,1,4,0,0,0,0.231,0,0.231,15.4
503,John Nogowski,STL,1B,18,17,2,1,0,0,0,0,1,2,0,0,0.059,0.158,0.059,0.217,15.4
506,Eric Campbell,SEA,1B,4,11,1,3,0,0,0,0,1,1,0,0,0.273,0.333,0.273,0.606,15.2
506,Kevin Padlo,TB,3B,9,12,1,1,1,0,0,0,2,8,0,0,0.083,0.214,0.167,0.381,15.2
506,Anderson Tejeda,TEX,SS,5,16,1,1,0,0,0,0,1,10,1,0,0.062,0.118,0.062,0.18,15.2
506,Geraldo Perdomo,ARI,SS,4,10,1,1,0,0,0,0,3,2,0,0,0.1,0.308,0.1,0.408,15.2
510,Jason Martin,TEX,CF,12,19,0,3,0,0,0,0,0,9,1,0,0.158,0.158,0.158,0.316,15
511,Austin Romine,CHC,C,6,9,1,1,1,0,0,1,0,3,0,0,0.111,0.111,0.222,0.333,12.7
511,Garrett Stubbs,HOU,C,3,5,1,1,0,0,0,1,1,0,0,0,0.2,0.333,0.2,0.533,12.7
513,Wilfredo Tovar,NYM,SS,6,11,0,2,0,0,0,1,1,4,0,0,0.182,0.25,0.182,0.432,12.5
514,Ronnie Dawson,HOU,CF,3,5,2,1,0,0,0,0,1,0,0,0,0.2,0.333,0.2,0.533,12.4
515,Hernán Pérez,WSH,2B,10,19,1,1,0,0,0,0,2,10,0,0,0.053,0.143,0.053,0.196,12.2
515,Travis Jankowski,PHI,RF,5,6,1,3,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,12.2
515,Travis Blankenhorn,NYM,2B,7,7,1,1,1,0,0,0,1,2,0,0,0.143,0.25,0.286,0.536,12.2
518,Adam Engel,CHW,CF,2,4,0,0,0,0,0,0,1,2,1,0,0,0.333,0,0.333,12
519,Ivan Castillo,SD,SS,3,3,0,1,0,0,0,1,1,0,0,0,0.333,0.5,0.333,0.833,9.5
519,Chadwick Tromp,SF,C,2,5,0,2,0,0,0,1,0,1,0,0,0.4,0.4,0.4,0.8,9.5
521,Albert Almora Jr.,NYM,CF,20,21,1,1,0,0,0,0,1,8,0,0,0.048,0.091,0.048,0.139,9.2
521,Johan Camargo,ATL,3B,14,15,1,0,0,0,0,0,2,6,0,0,0,0.118,0,0.118,9.2
521,Ryan McBroom,KC,1B,5,6,1,1,0,0,0,0,1,5,0,0,0.167,0.286,0.167,0.453,9.2
521,JT Riddle,MIN,SS,4,6,1,2,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9.2
521,Shed Long Jr.,SEA,2B,1,4,1,1,1,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,9.2
521,Luis Rengifo,LAA,2B,4,14,1,1,0,0,0,0,1,2,0,0,0.071,0.133,0.071,0.204,9.2
521,P.J. Higgins,CHC,C,8,21,1,1,0,0,0,0,1,8,0,0,0.048,0.091,0.048,0.139,9.2
528,Tyler Nevin,BAL,1B,2,5,0,1,1,0,0,0,1,2,0,0,0.2,0.333,0.4,0.733,9
529,Max Moroff,STL,SS,6,16,0,1,0,0,0,1,0,10,0,0,0.062,0.062,0.062,0.124,6.5
529,Orlando Arcia,MIL,SS,4,11,0,1,0,0,0,1,0,3,0,0,0.091,0.091,0.091,0.182,6.5
531,Luis Marté,MIA,SS,1,2,1,0,0,0,0,0,1,1,0,0,0,0.333,0,0.333,6.2
531,Braden Bishop,SEA,CF,8,4,1,1,0,0,0,0,0,2,0,0,0.25,0.25,0.25,0.5,6.2
531,Jake Hager,NYM,RF,5,8,1,1,0,0,0,0,0,3,0,0,0.125,0.125,0.125,0.25,6.2
531,Scott Kingery,PHI,3B,15,19,1,1,0,0,0,0,0,12,0,0,0.053,0.053,0.053,0.106,6.2
531,Luke Williams,PHI,3B,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,6.2
531,Mario Feliciano,MIL,C,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,6.2
531,Corey Ray,MIL,CF,1,2,1,0,0,0,0,0,1,1,0,0,0,0.333,0,0.333,6.2
538,Domingo Leyba,ARI,2B,13,22,0,0,0,0,0,0,2,7,0,0,0,0.083,0,0.083,6
538,Ali Sánchez,STL,C,1,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1,6
538,Estevan Florial,NYY,CF,1,3,0,1,1,0,0,0,0,1,0,0,0.333,0.333,0.667,1,6
538,Riley Adams,TOR,C,1,3,0,1,1,0,0,0,0,2,0,0,0.333,0.333,0.667,1,6
538,Abraham Toro,HOU,3B,6,12,0,1,0,0,0,0,1,0,0,0,0.083,0.154,0.083,0.237,6
543,Sebastian Rivero,KC,C,2,6,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3.2
544,Ryan LaMarre,NYY,CF,3,7,0,0,0,0,0,0,1,1,0,0,0,0.125,0,0.125,3
544,Chris Gittens,NYY,1B,2,7,0,0,0,0,0,0,1,4,0,0,0,0.125,0,0.125,3
544,Monte Harrison,MIA,CF,3,5,0,1,0,0,0,0,0,1,0,1,0.2,0.2,0.2,0.4,3
544,Carter Kieboom,WSH,SS,2,1,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0.5,3
544,Hunter Owen,PIT,OF,3,4,0,0,0,0,0,0,0,3,0,0,0,0.2,0,0.2,3
544,Luis Barrera,OAK,CF,4,5,0,1,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0.4,3
550,Jeff Mathis,ATL,C,3,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
550,Sean Kazmar Jr.,ATL,SS,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Skye Bolt,OAK,CF,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550,Gilberto Celestino,MIN,CF,4,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
550,Lewin Díaz,MIA,1B,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
550,Tzu-Wei Lin,MIN,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Thairo Estrada,SF,2B,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Isaac Paredes,DET,3B,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550,Joseph Odom,TB,C,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550,Jack Kruger,LAA,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Daniel Johnson,CLE,RF,2,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
550,Luis González,CHW,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Scott Hurst,STL,OF,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550,Tres Barrera,WSH,C,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550,Rodolfo Castro,PIT,2B,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550,Joey Bart,SF,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Cody Wilson,WSH,CF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
