P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",58391-68482:Zach Eflin,58391-68482,P,Zach,Zach Eflin,Eflin,32.5,6,8100,MIL@PHI,PHI,MIL,,,,,,P
"","","","","","","","","","",58391-13664:Patrick Corbin,58391-13664,P,Patrick,Patrick Corbin,Corbin,15,5,8100,ATL@WSH,WSH,ATL,,,,,,P
"","","","","","","","","","",58391-12306:Jake Arrieta,58391-12306,P,Jake,Jake Arrieta,Arrieta,23.285714285714285,7,8000,LAD@CHC,CHC,LAD,IL,Thumb,,,,P
"","","","","","","","","","",58391-13123:Alex Cobb,58391-13123,P,Alex,Alex Cobb,Cobb,25.6,5,8000,TB@LAA,LAA,TB,,,,,,P
"","","","","","","","","","",58391-68518:Spencer Turnbull,58391-68518,P,Spencer,Spencer Turnbull,Turnbull,23.333333333333332,3,8000,DET@BOS,DET,BOS,,,,,,P
"","","","","","","","","","",58391-79073:Mike Soroka,58391-79073,P,Mike,Mike Soroka,Soroka,17,3,8000,ATL@WSH,ATL,WSH,IL,Shoulder,,,,P
"","","","","","","","","","",58391-101804:Huascar Ynoa,58391-101804,P,Huascar,Huascar Ynoa,Ynoa,31.428571428571427,7,8000,ATL@WSH,ATL,WSH,,,,,,P
"","","","","","","","","","",58391-53029:Robbie Ray,58391-53029,P,Robbie,Robbie Ray,Ray,30.25,4,8000,TOR@OAK,TOR,OAK,,,,Yes,,P
"","","","","","","","","","",58391-5466:Charlie Morton,58391-5466,P,Charlie,Charlie Morton,Morton,30.166666666666668,6,7900,ATL@WSH,ATL,WSH,,,,,,P
"","","","","","","","","","",58391-5767:J.A. Happ,58391-5767,P,J.A.,J.A. Happ,Happ,27,5,7900,TEX@MIN,MIN,TEX,,,,,,P
"","","","","","","","","","",58391-102523:Deivi Garcia,58391-102523,P,Deivi,Deivi Garcia,Garcia,18,1,7800,HOU@NYY,NYY,HOU,,,,,,P
"","","","","","","","","","",58391-53608:Jose Urena,58391-53608,P,Jose,Jose Urena,Urena,28.5,6,7800,DET@BOS,DET,BOS,,,,,,P
"","","","","","","","","","",58391-13233:Nathan Eovaldi,58391-13233,P,Nathan,Nathan Eovaldi,Eovaldi,31.666666666666668,6,7800,DET@BOS,BOS,DET,,,,,,P
"","","","","","","","","","",58391-52185:Max Fried,58391-52185,P,Max,Max Fried,Fried,11,3,7800,ATL@WSH,ATL,WSH,IL,Hamstring,,Yes,,P
"","","","","","","","","","",58391-79147:Jakob Junis,58391-79147,P,Jakob,Jakob Junis,Junis,18.571428571428573,7,7800,CLE@KC,KC,CLE,,,,,,P
"","","","","","","","","","",58391-52167:Andrew Heaney,58391-52167,P,Andrew,Andrew Heaney,Heaney,29.2,5,7700,TB@LAA,LAA,TB,,,,,,P
"","","","","","","","","","",58391-85269:Cole Irvin,58391-85269,P,Cole,Cole Irvin,Irvin,33.5,6,7700,TOR@OAK,OAK,TOR,,,,,,P
"","","","","","","","","","",58391-79224:Chris Paddack,58391-79224,P,Chris,Chris Paddack,Paddack,20,5,7700,PIT@SD,SD,PIT,IL,Undisclosed,,,,P
"","","","","","","","","","",58391-38272:Mike Foltynewicz,58391-38272,P,Mike,Mike Foltynewicz,Foltynewicz,27.166666666666668,6,7600,TEX@MIN,TEX,MIN,,,,,,P
"","","","","","","","","","",58391-63781:Frankie Montas,58391-63781,P,Frankie,Frankie Montas,Montas,25.5,6,7500,TOR@OAK,OAK,TOR,,,,,,P
"","","","","","","","","","",58391-82535:Kyle Wright,58391-82535,P,Kyle,Kyle Wright,Wright,22,1,7500,ATL@WSH,ATL,WSH,,,,,,P
"","","","","","","","","","",58391-101838:JT Brubaker,58391-101838,P,JT,JT Brubaker,Brubaker,33.6,5,7500,PIT@SD,PIT,SD,,,,Yes,,P
"","","","","","","","","","",58391-110822:Jose Urquidy,58391-110822,P,Jose,Jose Urquidy,Urquidy,26.833333333333332,6,7400,HOU@NYY,HOU,NYY,,,,,,P
