Rank,Name,Team,POS,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
595,Pedro Strop,CIN,RP,0,0,3.86,4,0,0,2.1,1,3,1,0,6,3,0.125,3,13
595,Hunter Strickland,NYM,RP,0,1,8.1,4,0,0,3.1,5,4,3,0,1,4,0.312,1.8,13
595,Randy Rosario,KC,RP,0,1,8.1,4,0,0,3.1,7,3,3,1,3,4,0.438,3,13
595,Chase De Jong,HOU,RP,0,1,14.73,3,2,0,7.1,12,12,12,2,4,9,0.375,2.18,13
595,Brandon Waddell,PIT,SP,0,0,2.7,2,0,0,3.1,2,1,1,0,2,2,0.167,1.2,13
595,Joe Palumbo,TEX,SP,0,1,11.57,2,0,0,2.1,3,3,3,1,3,5,0.273,2.57,13
595,Trevor Kelley,PHI,RP,0,0,10.8,4,0,0,3.1,8,4,4,2,1,5,0.444,2.7,13
595,Reggie McClain,PHI,RP,0,0,5.06,5,0,0,5.1,9,6,3,1,3,2,0.36,2.25,13
603,Tommy Kahnle,NYY,RP,0,0,0,1,0,0,1,1,0,0,0,1,3,0.2,2,12
603,Keone Kela,PIT,RP,0,0,4.5,3,0,0,2,3,1,1,1,1,3,0.333,2,12
603,José Leclerc,TEX,RP,0,0,4.5,2,0,1,2,2,1,1,0,2,3,0.25,2,12
603,José De León,CIN,RP,0,0,18,5,0,0,6,6,12,12,1,11,10,0.25,2.83,12
603,Glenn Sparkman,KC,SP,0,0,5.4,4,0,0,5,9,6,3,0,1,2,0.36,2,12
603,Joel Payamps,ARI,RP,0,0,3,2,0,0,3,2,2,1,0,3,2,0.2,1.67,12
603,Jimmy Lambert,CHW,SP,0,0,0,2,0,0,2,2,0,0,0,0,2,0.25,1,12
603,James Bourque,WSH,RP,1,0,6.75,6,0,0,4,3,3,3,1,5,1,0.2,2,12
611,Seth Romero,WSH,SP,0,0,13.5,3,0,0,2.2,5,4,4,1,3,5,0.333,3,11
611,Austin Davis,PIT,RP,0,0,10.8,9,0,0,6.2,11,8,8,1,2,5,0.367,1.95,11
611,Josh D. Smith,MIA,RP,0,0,10.8,2,0,0,1.2,2,2,2,1,1,4,0.286,1.8,11
614,Chris Rusin,ATL,RP,0,0,8.1,1,0,0,3.1,6,3,3,1,3,3,0.429,2.7,10
614,Brad Peacock,HOU,SP,0,0,7.71,3,0,0,2.1,3,2,2,0,1,3,0.3,1.71,10
614,Sal Romano,CIN,RP,1,0,0,2,0,0,1.1,0,0,0,0,0,0,0,0,10
614,Ashton Goudeau,COL,RP,0,0,7.56,4,0,0,8.1,15,7,7,3,2,2,0.441,2.04,10
618,Cory Gearrin,MIN,RP,0,0,0,1,0,0,2,0,0,0,0,2,1,0,1,9
618,David Hess,BAL,RP,0,0,6.43,3,0,0,7,10,5,5,1,2,1,0.333,1.71,9
618,Yacksel Ríos,PIT,RP,0,0,9,3,0,0,4,3,4,4,0,2,3,0.214,1.25,9
618,Phillip Diehl,COL,RP,0,0,10.5,6,0,0,6,7,7,7,2,1,4,0.292,1.33,9
622,A.J. Ramos,COL,RP,0,0,3.38,3,0,0,2.2,4,1,1,1,3,1,0.333,2.63,8
622,Robinson Leyer,BOS,RP,0,0,21.21,6,1,0,4.2,12,11,11,3,8,9,0.462,4.29,8
622,Chris Devenski,HOU,RP,0,1,14.73,4,0,0,3.2,7,6,6,1,3,5,0.389,2.73,8
622,Justin Shafer,MIA,RP,0,0,12.71,5,0,0,5.2,8,8,8,2,4,5,0.333,2.12,8
622,Nestor Cortes,SEA,RP,0,0,15.26,5,1,0,7.2,12,14,13,6,6,8,0.343,2.35,8
627,Cole Hamels,ATL,SP,0,1,8.1,1,1,0,3.1,3,3,3,0,1,2,0.25,1.2,7
627,Brett Eibner,MIA,RP,0,0,13.5,3,0,0,3.1,7,7,5,2,4,4,0.412,3.3,7
627,Clay Holmes,PIT,RP,0,0,0,1,0,0,1.1,2,0,0,0,0,1,0.333,1.5,7
627,Jimmy Yacabonis,SEA,RP,0,1,3.86,2,1,0,2.1,2,1,1,0,3,1,0.222,2.14,7
627,Zack Littell,MIN,RP,0,0,9.95,6,0,0,6.1,12,7,7,5,3,3,0.444,2.37,7
627,Sterling Sharp,MIA,SP,0,0,10.13,4,0,0,5.1,7,7,6,1,5,3,0.304,2.25,7
627,Jonathan Stiever,CHW,SP,0,1,9.95,2,2,0,6.1,7,7,7,4,4,3,0.28,1.74,7
634,Corey Kluber,TEX,SP,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,6
634,Johan Quezada,MIA,RP,0,0,9,3,0,0,3,4,3,3,1,1,2,0.364,1.67,6
634,Tyson Miller,CHC,SP,0,0,5.4,2,1,0,5,2,3,3,1,3,0,0.125,1,6
634,Matt Dermody,CHC,RP,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6
634,Bernardo Flores Jr.,CHW,SP,0,0,9,2,0,0,2,4,2,2,0,0,2,0.4,2,6
634,Carlos Sanabria,HOU,RP,0,0,9,2,0,0,2,3,2,2,1,3,2,0.333,3,6
640,Justin Grimm,MIL,RP,0,0,17.36,4,0,0,4.2,9,9,9,4,4,6,0.391,2.79,5
640,Jesse Biddle,CIN,RP,0,0,0,1,0,0,0.2,1,0,0,0,1,1,0.333,3,5
640,Angel Perdomo,MIL,SP,0,0,20.25,3,0,0,2.2,3,7,6,0,7,5,0.273,3.75,5
640,Tucker Davidson,ATL,SP,0,1,10.8,1,1,0,1.2,3,7,2,1,4,2,0.333,4.2,5
640,Jose Rodriguez,LAA,RP,0,0,0,1,0,0,1.2,2,0,0,0,1,0,0.286,1.8,5
645,Kelvin Herrera,CHW,RP,0,0,15.43,2,0,0,2.1,3,4,4,2,1,3,0.3,1.71,4
645,Jordan Yamamoto,MIA,SP,0,1,18.27,4,3,0,11.1,27,24,23,8,7,13,0.458,3,4
645,Kyle Keller,LAA,RP,0,0,7.71,2,0,0,2.1,3,2,2,0,2,1,0.273,2.14,4
645,Jeremy Beasley,ARI,SP,0,0,0,1,0,0,0.1,2,0,0,0,0,1,0.667,6,4
645,Dany Jiménez,SF,RP,0,0,6.75,2,0,0,1.1,1,1,1,0,3,1,0.2,3,4
650,Stephen Strasburg,WSH,SP,0,1,10.8,2,2,0,5,8,6,6,1,1,2,0.364,1.8,3
650,Sam Gaviglio,TOR,RP,0,1,9,4,0,0,3,3,3,3,0,5,1,0.273,2.67,3
650,Ariel Jurado,NYM,RP,0,0,11.25,1,1,0,4,9,5,5,1,0,2,0.45,2.25,3
650,Brad Wieck,CHC,RP,0,0,18,1,0,0,1,1,2,2,1,1,2,0.25,2,3
650,Jesus Cruz,STL,RP,0,0,18,1,0,0,1,3,2,2,0,1,2,0.6,4,3
655,Aaron Barrett,WSH,RP,0,0,10.8,2,0,0,1.2,2,2,2,0,2,1,0.333,2.4,2
655,Garrett Cleavinger,PHI,RP,0,0,13.5,1,0,0,0.2,2,1,1,1,0,1,0.5,3,2
655,Chad Sobotka,ATL,RP,0,0,12.27,4,0,0,3.2,6,5,5,0,2,2,0.333,2.18,2
655,Hector Perez,TOR,SP,0,0,10.8,1,0,0,1.2,3,2,2,1,3,1,0.429,3.6,2
655,Ronald Bolaños,KC,SP,0,2,12.27,2,2,0,3.2,8,7,5,2,3,2,0.471,3,2
655,Dillon Peters,LAA,SP,0,0,16.2,1,1,0,1.2,3,4,3,2,0,2,0.333,1.8,2
655,Cole Irvin,PHI,SP,0,1,17.18,3,0,0,3.2,11,7,7,1,1,4,0.524,3.27,2
662,Mike Foltynewicz,ATL,SP,0,1,16.2,1,1,0,3.1,4,6,6,3,4,3,0.333,2.4,1
662,Joe Mantiply,ARI,RP,0,0,15.43,4,0,0,2.1,3,4,4,0,4,2,0.273,3,1
662,Albert Abreu,NYY,SP,0,1,20.25,2,0,0,1.1,4,4,3,1,2,2,0.444,4.5,1
662,Edgar García,TB,RP,0,0,10.8,4,0,1,3.1,3,4,4,2,4,1,0.25,2.1,1
662,Bobby Wahl,MIL,RP,0,1,11.57,3,0,0,2.1,4,3,3,2,0,1,0.4,1.71,1
662,Jordan Holloway,MIA,RP,0,0,0,1,0,0,0.1,2,0,0,0,1,0,0.667,9,1
662,Alex Vesia,MIA,RP,0,1,18.69,5,0,0,4.1,7,10,9,3,7,5,0.35,3.23,1
