Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58417-68564,P,Erick,Erick Fedde,Fedde,22.333333333333332,6,7200,ATL@WSH,WSH,ATL,,,,,,P
58417-5369,P,Jon,Jon Lester,Lester,18,1,7100,ATL@WSH,WSH,ATL,,,,Yes,,P
58417-82618,P,David,David Peterson,Peterson,27,5,7100,NYM@STL,NYM,STL,,,,,0,P
58417-104584,P,Zach,Zach Plesac,Plesac,23.5,6,7000,CLE@KC,CLE,KC,,,,,,P
58417-16961,P,Jameson,Jameson Taillon,Taillon,24.2,5,7000,HOU@NYY,NYY,HOU,,,,,0,P
58417-52873,P,Joe,Joe Ross,Ross,24.8,5,7000,ATL@WSH,WSH,ATL,,,,,,P
58417-12481,P,Mike,Mike Minor,Minor,23.5,6,6900,CLE@KC,KC,CLE,,,,,0,P
58417-79118,P,Triston,Triston McKenzie,McKenzie,20.8,5,6900,CLE@KC,CLE,KC,,,,Yes,,P
58417-5416,P,Brett,Brett Anderson,Anderson,17,4,6900,MIL@PHI,MIL,PHI,IL,Hamstring,,,0,P
58417-17121,P,Miles,Miles Mikolas,Mikolas,,,6900,NYM@STL,STL,NYM,IL,Shoulder,,,,P
58417-68452,P,Kenta,Kenta Maeda,Maeda,23,6,6900,TEX@MIN,MIN,TEX,,,,,0,P
58417-135212,P,Luis,Luis Garcia,Garcia,21.833333333333332,6,6800,HOU@NYY,HOU,NYY,,,,,0,P
58417-79226,P,Eric,Eric Lauer,Lauer,33.5,2,6800,MIL@PHI,MIL,PHI,,,,,0,P
58417-12918,P,Julio,Julio Teheran,Teheran,27,1,6800,DET@BOS,DET,BOS,IL,Shoulder,,,0,P
58417-146130,P,Kohei,Kohei Arihara,Arihara,13.5,6,6800,TEX@MIN,TEX,MIN,DTD,Finger,,,0,P
58417-39686,P,Carlos,Carlos Martinez,Martinez,24.666666666666668,6,6800,NYM@STL,STL,NYM,,,,,,P
58417-11328,P,Martin,Martin Perez,Perez,21.333333333333332,6,6700,DET@BOS,BOS,DET,,,,,,P
58417-60627,P,Touki,Touki Toussaint,Toussaint,13.571428571428571,7,6600,ATL@WSH,ATL,WSH,IL,Shoulder,,,,P
58417-85253,P,Casey,Casey Mize,Mize,22.833333333333332,6,6600,DET@BOS,DET,BOS,,,,,0,P
58417-13727,P,Josh,Josh Lindblom,Lindblom,4,5,6600,MIL@PHI,MIL,PHI,IL,Knee,,,0,P
