Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58318-12929,P,Jordan,Jordan Lyles,Lyles,15.666666666666666,6,6500,TEX@MIN,TEX,MIN,,,,,0,P
58318-119426,P,Johan,Johan Oviedo,Oviedo,26.5,2,6500,NYM@STL,STL,NYM,,,,Yes,,P
58318-13444,P,Mike,Mike Fiers,Fiers,22,1,6500,TOR@OAK,OAK,TOR,,,,,,P
58318-79185,P,Justin,Justin Dunn,Dunn,22,4,6500,BAL@SEA,SEA,BAL,,,,Yes,,P
58318-12934,P,Tyler,Tyler Chatwood,Chatwood,7.625,8,6400,TOR@OAK,TOR,OAK,,,,,,P
58318-66766,P,Adrian,Adrian Houser,Houser,22.5,6,6400,MIL@PHI,MIL,PHI,,,,,0,P
58318-5599,P,Trevor,Trevor Cahill,Cahill,19,5,6400,PIT@SD,PIT,SD,,,,,,P
58318-17087,P,Drew,Drew Smyly,Smyly,16,4,6300,ATL@WSH,ATL,WSH,,,,,0,P
58318-85253,P,Casey,Casey Mize,Mize,21.8,5,6300,DET@BOS,DET,BOS,,,,,0,P
58318-102395,P,Ryan,Ryan Weathers,Weathers,14.285714285714286,7,6300,PIT@SD,SD,PIT,DTD,Arm,,,,P
58318-114708,P,Randy,Randy Dobnak,Dobnak,5.285714285714286,7,6200,TEX@MIN,MIN,TEX,,,,,,P
58318-135191,P,Josh,Josh Fleming,Fleming,23.25,4,6200,TB@LAA,TB,LAA,,,,,0,P
58318-84476,P,Daniel,Daniel Ponce de Leon,Ponce de Leon,3.8,5,6200,NYM@STL,STL,NYM,IL,Shoulder,,,,P
58318-17164,P,Matt,Matt Shoemaker,Shoemaker,12.2,5,6200,TEX@MIN,MIN,TEX,,,,,,P
58318-68485,P,Ryan,Ryan Yarbrough,Yarbrough,21.666666666666668,6,6200,TB@LAA,TB,LAA,,,,,0,P
58318-68564,P,Erick,Erick Fedde,Fedde,25,5,6200,ATL@WSH,WSH,ATL,,,,,0,P
