Rank,Name,Team,Pos,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
1,Tyler Glasnow,TB,SP,4,1,2.06,7,7,0,43.2,23,10,10,4,15,64,0.151,0.87,337
2,Shane Bieber,CLE,SP,3,2,2.76,6,6,0,42.1,28,13,13,5,14,68,0.178,0.99,334
3,Gerrit Cole,NYY,SP,4,1,1.43,6,6,0,37.2,24,7,6,1,3,62,0.178,0.72,325
4,Jacob deGrom,NYM,SP,2,2,0.51,5,5,0,35,16,5,2,2,4,59,0.136,0.57,308
5,Trevor Bauer,LAD,SP,3,1,2.48,6,6,0,40,19,12,11,7,8,51,0.138,0.68,278
6,Yu Darvish,SD,SP,3,1,2.13,6,6,0,38,23,9,9,4,11,49,0.172,0.9,272
7,Max Scherzer,WSH,SP,2,2,2.54,6,6,0,39,27,13,11,7,6,47,0.196,0.85,253
8,Clayton Kershaw,LAD,SP,4,2,2.1,8,6,0,38.2,30,10,9,3,5,39,0.21,0.91,250
9,Corbin Burnes,MIL,RP,2,2,1.53,5,5,0,29.1,16,6,5,1,0,49,0.152,0.55,248
10,Kevin Gausman,SF,SP,2,0,2.04,6,6,0,39.2,25,9,9,4,11,40,0.175,0.91,244
11,Joe Musgrove,SD,SP,2,3,2.38,9,6,0,34,18,11,9,4,7,47,0.148,0.74,240
11,Trevor Rogers,MIA,SP,3,2,1.91,6,6,0,33,22,8,7,2,13,44,0.193,1.06,240
13,Julio Urías,LAD,RP,4,0,2.87,6,6,0,37.2,28,13,12,4,6,42,0.206,0.9,239
14,John Means,BAL,SP,3,0,1.7,6,6,0,37,21,7,7,5,10,38,0.163,0.84,238
15,Brandon Woodruff,MIL,SP,2,0,1.8,6,6,0,35,19,7,7,1,9,40,0.158,0.8,236
16,Danny Duffy,KC,SP,4,1,0.6,5,5,0,30,20,4,2,2,9,34,0.183,0.97,226
17,Freddy Peralta,MIL,RP,3,0,2.25,6,5,0,28,14,7,7,3,14,45,0.146,1,224
18,Zack Wheeler,PHI,SP,2,2,3.49,6,6,0,38.2,31,15,15,4,12,41,0.225,1.11,218
18,Jack Flaherty,STL,SP,5,0,3.41,6,6,0,34.1,25,16,13,3,10,36,0.203,1.02,218
20,Aaron Nola,PHI,SP,2,1,3.11,6,6,0,37.2,31,13,13,3,5,39,0.218,0.96,215
21,Anthony DeSclafani,SF,SP,2,1,2,8,6,0,36,25,8,8,3,9,33,0.189,0.94,211
22,Carlos Rodón,CHW,SP,4,0,0.72,4,4,0,25,7,3,2,1,9,36,0.085,0.64,209
23,José Berríos,MIN,SP,3,2,3.58,6,6,0,32.2,24,13,13,2,9,42,0.207,1.01,207
24,Sandy Alcantara,MIA,SP,1,2,3.19,6,6,0,36.2,25,14,13,3,11,36,0.195,0.98,201
25,Dylan Bundy,LAA,SP,0,3,4,6,6,0,36,30,17,16,5,9,40,0.224,1.08,200
26,Aaron Civale,CLE,SP,4,0,3.2,6,6,0,39.1,29,15,14,5,12,28,0.209,1.04,196
27,Kyle Gibson,TEX,SP,3,0,2.16,6,6,0,33.1,27,9,8,0,11,27,0.22,1.14,195
27,Zach Eflin,PHI,SP,1,1,3.49,6,6,0,38.2,43,15,15,3,2,34,0.279,1.16,195
27,Pablo López,MIA,SP,0,2,2.34,7,6,0,34.2,28,10,9,3,10,34,0.22,1.1,195
30,Tyler Mahle,CIN,SP,1,1,3.23,6,6,0,30.2,23,12,11,5,11,41,0.207,1.11,192
31,Sean Manaea,OAK,SP,3,1,3.48,6,6,0,33.2,34,13,13,4,7,33,0.26,1.22,191
31,Ian Anderson,ATL,SP,2,1,3.27,6,6,0,33,26,12,12,3,14,36,0.215,1.21,191
33,Nathan Eovaldi,BOS,SP,4,2,3.64,6,6,0,34.2,33,14,14,0,7,32,0.248,1.15,190
33,Chris Bassitt,OAK,SP,2,2,3.93,6,6,0,34.1,32,15,15,3,12,36,0.244,1.28,190
35,Jon Gray,COL,SP,3,2,3.15,6,6,0,34.1,27,13,12,3,14,30,0.213,1.19,187
36,Charlie Morton,ATL,SP,2,1,5.08,6,6,0,33.2,29,19,19,4,12,39,0.23,1.22,181
37,Steven Matz,TOR,SP,4,2,4.78,6,6,0,32,29,17,17,5,10,33,0.238,1.22,180
37,Matthew Boyd,DET,SP,2,3,2.27,6,6,0,35.2,26,10,9,1,7,24,0.203,0.93,180
39,Tyler Anderson,PIT,SP,2,3,3.24,6,6,0,33.1,27,12,12,3,11,31,0.225,1.14,177
39,Zack Greinke,HOU,SP,2,1,3.44,6,6,0,36.2,36,14,14,5,6,27,0.259,1.15,177
39,Huascar Ynoa,ATL,RP,2,1,2.96,6,5,0,27.1,19,9,9,5,6,34,0.19,0.92,177
42,Walker Buehler,LAD,SP,1,0,3.16,5,5,0,31.1,28,11,11,4,2,31,0.237,0.96,176
43,Adam Wainwright,STL,SP,1,3,4.72,6,6,0,34.1,37,19,18,6,9,37,0.272,1.34,174
43,Lucas Giolito,CHW,SP,1,3,4.99,6,6,0,30.2,27,19,17,6,13,41,0.223,1.3,174
43,Cristian Javier,HOU,RP,3,0,1.75,5,5,0,25.2,15,5,5,1,8,30,0.17,0.9,174
46,José Ureña,DET,SP,1,4,3.53,6,6,0,35.2,29,16,14,1,16,28,0.221,1.26,171
47,Eduardo Rodriguez,BOS,SP,4,0,4.18,5,5,0,28,26,13,13,5,3,31,0.243,1.04,170
47,German Márquez,COL,SP,1,2,4.13,6,6,0,32.2,29,15,15,3,19,33,0.242,1.47,170
49,Marcus Stroman,NYM,SP,3,2,1.86,5,5,0,29,21,9,6,1,6,23,0.204,0.93,168
49,JT Brubaker,PIT,SP,2,2,2.63,5,5,0,27.1,23,8,8,4,5,30,0.225,1.02,168
51,Dustin May,LAD,RP,1,1,2.74,5,5,0,23,16,8,7,4,6,35,0.186,0.96,167
52,Corey Kluber,NYY,SP,2,2,3.03,6,6,0,29.2,26,13,10,3,14,29,0.239,1.35,166
52,Lance Lynn,CHW,SP,2,1,1.82,4,4,0,24.2,20,7,5,2,4,29,0.215,0.97,166
54,Blake Snell,SD,SP,1,0,3.51,6,6,0,25.2,23,11,10,3,15,37,0.228,1.48,164
55,Jake Arrieta,CHC,SP,3,3,4.31,7,6,0,31.1,29,15,15,5,12,28,0.242,1.31,163
55,Mike Foltynewicz,TEX,SP,1,3,4.32,6,6,0,33.1,35,16,16,9,8,31,0.271,1.29,163
57,Michael Pineda,MIN,SP,2,1,2.31,5,5,0,27.1,19,9,7,5,6,27,0.19,0.92,162
58,Jose Urquidy,HOU,SP,2,2,3.71,6,6,0,34,31,14,14,4,8,27,0.24,1.15,161
59,Lance McCullers Jr.,HOU,SP,2,1,3.38,5,5,0,26.2,14,10,10,1,14,30,0.152,1.05,160
60,Madison Bumgarner,ARI,SP,3,2,5.58,7,6,0,30.2,28,19,19,4,10,33,0.241,1.24,156
61,Frankie Montas,OAK,SP,3,2,5.87,6,6,0,30.2,37,20,20,6,8,29,0.285,1.47,153
62,Hyun-Jin Ryu,TOR,SP,1,2,2.6,5,5,0,27.2,26,9,8,3,3,26,0.241,1.05,151
63,Nick Pivetta,BOS,RP,3,0,2.81,5,5,0,25.2,15,8,8,1,17,25,0.176,1.25,150
64,Taijuan Walker,NYM,SP,1,1,3,6,5,0,27,19,10,9,1,15,27,0.2,1.26,149
64,Michael Kopech,CHW,SP,2,0,1.45,7,2,0,18.2,8,3,3,1,4,30,0.125,0.64,149
66,Carlos Martínez,STL,RP,2,4,3.72,6,6,0,36.1,28,16,15,2,9,20,0.209,1.02,148
67,Andrew Heaney,LAA,SP,1,2,5.25,5,5,0,24,18,14,14,4,9,34,0.207,1.13,146
67,Dylan Cease,CHW,SP,1,0,2.96,5,5,0,24.1,21,8,8,2,12,29,0.239,1.36,146
67,Dane Dunning,TEX,SP,1,2,3.81,6,6,0,28.1,27,13,12,1,7,29,0.243,1.2,146
67,Yusei Kikuchi,SEA,SP,1,1,4.4,5,5,0,30.2,24,15,15,5,11,27,0.214,1.14,146
71,Logan Webb,SF,SP,1,2,4.13,6,5,0,28.1,32,13,13,3,11,28,0.291,1.52,144
72,Cole Irvin,OAK,SP,2,3,3.67,5,5,0,27,31,11,11,3,4,25,0.282,1.3,143
73,Garrett Richards,BOS,SP,1,2,4.4,6,6,0,28.2,29,16,14,3,14,29,0.257,1.5,141
74,Wade Miley,CIN,SP,3,2,2.67,5,5,0,27,19,8,8,3,7,19,0.188,0.96,140
75,Matt Harvey,BAL,SP,3,1,4.07,6,6,0,31,31,14,14,2,9,22,0.252,1.29,139
75,Austin Gomber,COL,RP,2,3,5.9,6,6,0,29,22,23,19,3,20,27,0.212,1.45,139
77,Brady Singer,KC,SP,1,3,3.09,5,5,0,23.1,19,12,8,2,9,26,0.216,1.2,138
78,Justus Sheffield,SEA,SP,2,2,4.18,5,5,0,28,29,16,13,3,11,24,0.264,1.43,137
79,Adrian Houser,MIL,SP,2,3,3.52,6,6,0,30.2,29,15,12,4,11,21,0.259,1.3,135
79,Kenta Maeda,MIN,SP,2,2,5.34,6,6,0,28.2,38,19,17,7,7,28,0.311,1.57,135
79,David Peterson,NYM,SP,1,3,4.81,5,5,0,24.1,22,16,13,5,8,29,0.242,1.23,135
79,Zach Plesac,CLE,SP,1,3,4.78,6,6,0,32,31,17,17,4,7,24,0.25,1.19,135
83,Chris Flexen,SEA,SP,2,1,3.33,5,5,0,27,30,11,10,2,6,21,0.288,1.33,134
84,John Gant,STL,RP,2,2,2.16,5,5,0,25,21,7,6,1,18,20,0.239,1.56,133
85,Alex Wood,SF,SP,3,0,1.5,3,3,0,18,9,3,3,1,3,20,0.148,0.67,131
86,Trevor Williams,CHC,SP,2,2,6,6,6,0,27,33,18,18,5,14,29,0.3,1.74,130
86,Ryan Yarbrough,TB,RP,1,3,4.86,6,4,0,33.1,37,21,18,2,6,26,0.274,1.29,130
86,Jesús Luzardo,OAK,RP,1,3,5.79,6,6,0,28,33,21,18,5,12,30,0.289,1.61,130
86,Jakob Junis,KC,SP,1,2,5.04,7,4,0,25,24,14,14,3,8,29,0.253,1.28,130
90,Zac Gallen,ARI,SP,1,1,3.48,4,4,0,20.2,14,8,8,1,10,27,0.182,1.16,129
91,Michael Wacha,TB,SP,1,1,4.77,6,4,0,28.1,27,16,15,4,8,26,0.255,1.24,128
92,Mike Minor,KC,SP,2,1,5.26,5,5,0,25.2,25,16,15,6,10,27,0.248,1.36,125
92,Erick Fedde,WSH,RP,2,2,4.43,5,5,0,22.1,18,12,11,2,11,25,0.217,1.3,125
94,Jordan Montgomery,NYY,SP,1,1,4.39,5,5,0,26.2,21,13,13,5,8,24,0.214,1.09,123
94,Merrill Kelly,ARI,SP,2,2,5.79,6,6,0,32.2,39,22,21,5,9,24,0.302,1.47,123
96,Robbie Ray,TOR,SP,1,1,2.78,4,4,0,22.2,18,7,7,4,9,20,0.217,1.19,121
96,Jameson Taillon,NYY,SP,1,2,5.24,5,5,0,22.1,23,13,13,5,5,29,0.261,1.25,121
96,Aaron Sanchez,SF,SP,1,1,2.22,5,5,0,24.1,17,6,6,1,9,20,0.193,1.07,121
99,Jeff Hoffman,CIN,SP,2,1,3.33,6,5,0,24.1,21,10,9,3,12,19,0.236,1.36,119
100,Johnny Cueto,SF,SP,2,0,1.8,3,3,0,20,13,4,4,0,4,18,0.191,0.85,118
101,Marco Gonzales,SEA,SP,1,3,5.4,5,5,0,28.1,27,17,17,6,11,23,0.25,1.34,117
101,James Karinchak,CLE,RP,0,0,0.69,14,0,2,13,3,1,1,1,2,27,0.068,0.39,117
103,Rich Hill,TB,SP,1,1,6.4,6,6,0,25.1,23,18,18,5,8,28,0.245,1.22,116
103,Giovanny Gallegos,STL,RP,2,1,2.16,14,0,1,16.2,6,4,4,1,4,22,0.111,0.6,116
103,Caleb Smith,ARI,SP,2,1,3.06,10,1,0,17.2,13,7,6,2,9,23,0.203,1.25,116
103,Bruce Zimmermann,BAL,SP,1,3,5.4,6,6,0,30,39,19,18,7,10,22,0.322,1.63,116
107,Luke Weaver,ARI,SP,1,2,4.91,5,5,0,25.2,24,14,14,5,9,23,0.247,1.29,114
107,Taylor Widener,ARI,SP,1,0,2.82,4,4,0,22.1,19,8,7,4,6,18,0.229,1.12,114
109,J.A. Happ,MIN,SP,2,0,1.96,4,4,0,23,12,5,5,2,7,13,0.15,0.83,113
110,Matt Barnes,BOS,RP,1,0,2.51,14,0,6,14.1,6,4,4,1,3,25,0.118,0.63,112
111,Luis Castillo,CIN,SP,1,3,6.07,6,6,0,29.2,40,24,20,5,8,24,0.328,1.62,111
112,Domingo Germán,NYY,SP,2,2,4.05,4,4,0,20,22,10,9,4,4,19,0.262,1.3,110
113,Craig Stammen,SD,RP,1,1,2.33,12,0,1,19.1,15,5,5,3,4,20,0.211,0.98,109
113,Griffin Canning,LAA,SP,2,2,6.2,5,4,0,20.1,20,15,14,6,7,26,0.253,1.33,109
113,Adbert Alzolay,CHC,SP,1,2,4.71,4,4,0,21,13,11,11,3,6,23,0.176,0.91,109
113,Casey Mize,DET,SP,1,3,5.06,5,5,0,26.2,27,15,15,5,10,20,0.267,1.39,109
117,Aroldis Chapman,NYY,RP,1,0,0,10,0,6,10,2,0,0,0,3,24,0.061,0.5,108
118,Vince Velasquez,PHI,SP,1,0,4.91,6,3,0,18.1,17,10,10,5,13,24,0.239,1.64,107
119,Joe Ross,WSH,SP,2,1,4.64,4,4,0,21.1,19,11,11,5,7,18,0.247,1.22,105
119,Lou Trivino,OAK,RP,1,0,1.59,15,0,5,17,11,4,3,2,7,19,0.18,1.06,105
121,José De León,CIN,RP,0,1,7.56,8,2,0,16.2,19,14,14,4,10,32,0.271,1.74,104
121,Triston McKenzie,CLE,SP,0,1,6.27,5,4,0,18.2,14,13,13,5,18,29,0.212,1.71,104
123,Dallas Keuchel,CHW,SP,1,1,4.65,6,6,0,31,30,18,16,3,11,16,0.254,1.32,103
123,Yusmeiro Petit,OAK,RP,4,0,1.04,15,0,0,17.1,13,2,2,1,3,11,0.206,0.92,103
123,Jonathan Loaisiga,NYY,SP,2,1,1.1,12,0,1,16.1,10,3,2,1,3,16,0.175,0.8,103
126,Michael Fulmer,DET,SP,1,1,3.86,7,3,0,21,16,9,9,3,6,20,0.203,1.05,102
126,Luis Garcia,HOU,SP,0,3,2.7,5,3,0,20,14,6,6,3,7,20,0.194,1.05,102
128,Tim Hill,SD,RP,2,2,1.32,16,0,0,13.2,10,9,2,3,4,18,0.179,1.02,101
129,Antonio Senzatela,COL,SP,1,3,5.76,6,6,0,29.2,37,21,19,5,9,18,0.298,1.55,100
129,Chris Paddack,SD,SP,1,3,5.4,5,5,0,23.1,25,19,14,2,7,22,0.26,1.37,100
129,Ryan Weathers,SD,SP,1,0,0.55,7,3,1,16.1,4,1,1,1,6,16,0.08,0.61,100
129,Tejay Antone,CIN,SP,1,0,2.94,9,0,1,15.1,6,5,5,2,8,21,0.118,0.91,100
133,Martin Pérez,BOS,SP,0,2,4.7,5,5,0,23,25,13,12,1,9,22,0.278,1.48,99
133,Scott Barlow,KC,RP,1,0,2.81,14,0,1,16,16,5,5,0,7,20,0.254,1.44,99
135,Josh Hader,MIL,RP,2,0,0.84,11,0,7,10.2,3,1,1,0,5,19,0.083,0.75,98
136,Garrett Whitlock,BOS,SP,0,0,0.63,7,0,0,14.1,8,1,1,1,2,19,0.157,0.7,97
137,Trevor Cahill,PIT,SP,1,3,7.4,5,5,0,24.1,29,21,20,3,8,24,0.293,1.52,95
137,Dillon Maples,CHC,RP,0,0,1.42,9,0,0,12.2,4,2,2,1,9,21,0.098,1.03,95
137,Chris Rodriguez,LAA,SP,2,0,2.46,7,0,0,14.2,9,4,4,0,8,17,0.173,1.16,95
140,Jordan Lyles,TEX,SP,1,2,7.39,6,6,0,28,37,23,23,8,8,23,0.316,1.61,94
140,Héctor Neris,PHI,RP,1,3,1.88,15,0,6,14.1,11,4,3,2,4,18,0.204,1.05,94
140,Alex Reyes,STL,RP,1,0,0,14,0,8,14.1,6,0,0,0,12,15,0.122,1.26,94
140,Emmanuel Clase,CLE,RP,2,1,0,14,0,6,13.1,10,3,0,0,3,14,0.189,0.98,94
144,Duane Underwood Jr.,PIT,RP,1,0,3.6,11,0,0,15,14,7,6,1,5,20,0.237,1.27,93
144,Josh Fleming,TB,RP,1,3,2.18,4,3,0,20.2,13,5,5,1,9,12,0.178,1.07,93
146,Junior Guerra,LAA,RP,2,0,3.86,10,0,0,18.2,12,9,8,1,8,16,0.169,1.07,92
146,Cesar Valdez,BAL,RP,2,0,1.32,12,0,7,13.2,11,3,2,0,3,15,0.208,1.02,92
146,Chad Green,NYY,RP,0,2,1.08,13,0,1,16.2,8,4,2,2,2,16,0.148,0.6,92
149,Jake Diekman,OAK,RP,1,0,2.03,13,0,3,13.1,9,5,3,0,5,18,0.184,1.05,91
149,Mike Mayers,LAA,RP,1,1,2.51,14,0,1,14.1,12,4,4,3,6,18,0.218,1.26,91
151,Ryne Stanek,HOU,RP,0,1,2.08,13,0,1,13,4,3,3,2,4,20,0.095,0.62,90
152,Chase Anderson,PHI,SP,1,3,5.4,5,5,0,21.2,21,13,13,3,10,19,0.25,1.43,89
152,Drew Pomeranz,SD,RP,0,0,1.54,12,0,0,11.2,8,2,2,1,6,20,0.19,1.2,89
152,Alex Cobb,LAA,SP,1,1,7.16,4,4,0,16.1,24,14,13,1,5,23,0.329,1.78,89
155,Kyle Hendricks,CHC,SP,1,3,7.54,5,5,0,22.2,32,19,19,10,8,21,0.333,1.77,88
155,Justin Dunn,SEA,SP,1,0,3.98,4,4,0,20.1,13,9,9,2,13,16,0.178,1.28,88
155,Dean Kremer,BAL,RP,0,2,6.43,5,5,0,21,26,15,15,5,8,22,0.306,1.62,88
155,Diego Castillo,TB,RP,0,2,3.14,14,0,7,14.1,10,5,5,2,6,20,0.2,1.12,88
159,Chi Chi González,COL,SP,1,0,4.38,6,4,0,24.2,27,12,12,2,9,14,0.287,1.46,86
159,Brent Suter,MIL,RP,2,1,2.87,11,0,0,15.2,15,6,5,2,4,14,0.25,1.21,86
159,John Curtiss,MIA,RP,2,1,2.13,12,0,0,12.2,10,3,3,2,0,15,0.213,0.79,86
162,Craig Kimbrel,CHC,RP,0,1,0,11,0,5,11,4,1,0,0,6,17,0.105,0.91,84
162,Drew Steckenrider,SEA,RP,2,1,3.46,10,0,0,13,11,5,5,0,6,16,0.239,1.31,84
164,Caleb Thielbar,MIN,RP,0,0,3.38,9,0,0,10.2,14,4,4,3,2,21,0.304,1.5,83
164,Sonny Gray,CIN,SP,0,2,5.93,3,3,0,13.2,16,9,9,3,8,23,0.286,1.76,83
164,Lucas Luetge,NYY,RP,1,0,4.02,10,0,0,15.2,14,7,7,3,3,17,0.233,1.09,83
164,Luis Cessa,NYY,RP,0,0,1.42,9,0,0,12.2,6,5,2,0,7,17,0.14,1.03,83
168,Jake McGee,SF,RP,1,0,2.92,13,0,7,12.1,8,6,4,3,3,17,0.17,0.89,82
168,Liam Hendriks,CHW,RP,1,0,3.97,11,0,5,11.1,7,5,5,4,1,19,0.171,0.71,82
168,Blake Treinen,LAD,RP,1,1,2.92,12,0,0,12.1,15,5,4,1,4,17,0.3,1.54,82
168,Adam Plutko,BAL,SP,1,0,1.1,11,0,0,16.1,11,2,2,1,5,11,0.196,0.98,82
172,Ryan Pressly,HOU,RP,2,0,1.5,11,0,4,12,12,3,2,0,3,13,0.25,1.25,81
172,Mark Melancon,SD,RP,0,0,0.64,13,0,10,14,5,1,1,0,1,14,0.104,0.43,81
172,Sam Coonrod,PHI,SP,0,0,1.39,12,0,1,13,7,2,2,2,2,16,0.156,0.69,81
172,J.P. Feyereisen,MIL,RP,0,1,0,15,0,0,14,4,2,0,0,7,13,0.087,0.79,81
172,Kohei Arihara,TEX,SP,2,3,5.76,6,6,0,25,26,17,16,6,9,14,0.274,1.4,81
177,Dylan Floro,MIA,RP,1,1,1.42,14,0,0,12.2,7,3,2,0,3,14,0.152,0.79,80
177,Jorge López,BAL,RP,1,3,7.48,5,5,0,21.2,22,18,18,6,9,21,0.256,1.43,80
177,Kwang Hyun Kim,STL,SP,1,0,3.29,3,3,0,13.2,17,5,5,1,1,16,0.304,1.32,80
180,Rex Brothers,CHC,RP,1,0,3.48,11,0,0,10.1,6,4,4,1,5,18,0.167,1.07,79
180,Paul Fry,BAL,RP,0,0,1.59,13,0,1,11.1,8,2,2,0,5,17,0.2,1.15,79
180,Josh Staumont,KC,RP,0,0,0.63,12,0,3,14.1,4,1,1,0,6,13,0.087,0.7,79
183,Jimmy Nelson,LAD,SP,1,1,3.75,12,0,0,12,10,6,5,0,9,17,0.217,1.58,78
183,Deolis Guerra,OAK,RP,1,0,2.25,9,0,0,12,6,6,3,2,5,15,0.143,0.92,78
185,Kendall Graveman,SEA,RP,1,0,0,10,0,3,11.2,3,0,0,0,2,12,0.081,0.43,77
185,Sam Howard,PIT,RP,2,1,3.38,14,0,0,10.2,5,4,4,2,6,15,0.139,1.03,77
185,Jeffrey Springs,TB,RP,2,0,3.55,12,0,1,12.2,12,6,5,1,1,14,0.245,1.03,77
188,Trevor May,NYM,RP,2,1,1.93,10,0,0,9.1,8,4,2,0,2,14,0.222,1.07,76
188,Sean Doolittle,CIN,RP,2,0,3.97,13,0,1,11.1,11,5,5,1,6,15,0.256,1.5,76
188,Tanner Scott,BAL,RP,1,2,2.19,13,0,0,12.1,6,4,3,0,12,14,0.133,1.46,76
188,Cole Sulser,BAL,RP,1,0,0.96,7,0,0,9.1,8,1,1,1,1,15,0.229,0.96,76
188,Will Vest,SEA,RP,1,0,1.17,14,0,0,15.1,11,3,2,0,7,10,0.212,1.17,76
193,Patrick Corbin,WSH,SP,1,3,8.1,5,5,0,23.1,27,22,21,7,14,18,0.293,1.76,75
193,José Quintana,LAA,SP,0,3,10.59,5,5,0,17,24,22,20,3,14,28,0.324,2.24,75
193,Ian Kennedy,TEX,RP,0,0,2.25,12,0,7,12,9,3,3,2,0,16,0.196,0.75,75
193,Emilio Pagán,SD,RP,2,0,3.27,13,0,0,11,10,4,4,3,5,14,0.238,1.36,75
193,Ryan Helsley,STL,RP,2,0,4.15,13,0,0,13,12,6,6,0,7,14,0.255,1.46,75
193,Tarik Skubal,DET,SP,0,4,6.14,6,4,0,22,23,16,15,8,14,18,0.264,1.68,75
199,Bryan Abreu,HOU,RP,1,1,4.3,10,0,0,14.2,12,8,7,2,6,15,0.222,1.23,74
200,Bryan Shaw,CLE,RP,1,0,2.19,12,0,0,12.1,3,3,3,1,8,13,0.075,0.89,73
