Rank,Name,Team,Pos,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
379,Taylor Williams,SD,RP,0,0,1.69,5,0,0,5.1,3,1,1,0,3,6,0.167,1.13,31
379,Sal Romano,CIN,RP,0,0,7.04,10,0,0,15.1,17,13,12,4,8,7,0.274,1.63,31
379,Wander Suero,WSH,RP,0,0,1.42,8,0,0,6.1,3,1,1,0,3,5,0.136,0.95,31
379,Tanner Rainey,WSH,RP,0,1,6.48,9,0,0,8.1,8,6,6,2,4,8,0.25,1.44,31
379,Patrick Weigel,MIL,RP,0,0,0,2,0,0,3.1,3,0,0,0,3,7,0.231,1.8,31
384,Jhoulys Chacín,COL,SP,0,1,6,5,0,0,9,11,6,6,1,6,7,0.314,1.89,30
384,Brandon Kintzler,PHI,RP,1,1,8,9,0,0,9,12,9,8,3,1,7,0.316,1.44,30
384,Jake Odorizzi,HOU,SP,0,2,10.13,3,3,0,8,10,9,9,3,3,11,0.294,1.63,30
384,Eric Lauer,MIL,SP,1,0,0,1,1,0,5,4,0,0,0,2,3,0.222,1.2,30
388,Joe Smith,HOU,RP,1,1,9.39,11,0,0,7.2,14,8,8,2,2,8,0.4,2.09,29
388,Sergio Romo,OAK,RP,0,0,7.59,12,0,0,10.2,12,9,9,1,5,8,0.279,1.59,29
388,Austin Brice,BOS,RP,0,0,3.52,8,0,0,7.2,7,3,3,1,5,5,0.25,1.57,29
388,Jason Adam,CHC,RP,0,0,9.45,8,0,0,6.2,7,7,7,1,6,10,0.269,1.95,29
388,Dennis Santana,LAD,RP,0,0,4.7,9,0,0,7.2,8,4,4,0,5,6,0.267,1.7,29
388,Luis Oviedo,PIT,SP,0,1,7.27,5,0,0,8.2,7,7,7,2,6,8,0.219,1.5,29
388,Luis Patiño,TB,SP,0,0,0,2,1,0,4.2,1,0,0,0,1,5,0.067,0.43,29
388,Camilo Doval,SF,RP,0,0,5.4,7,0,0,6.2,4,4,4,2,3,7,0.174,1.05,29
396,Jarlin García,SF,RP,0,1,8.53,5,0,0,6.1,4,7,6,2,5,9,0.167,1.42,28
396,Ben Bowden,COL,RP,0,2,8.64,11,0,0,8.1,14,9,8,1,3,9,0.341,2.04,28
396,JoJo Romero,PHI,SP,0,0,6.14,9,0,0,7.1,9,6,5,3,3,7,0.29,1.64,28
399,Ervin Santana,KC,SP,0,0,4,3,1,0,9,8,4,4,2,2,4,0.235,1.11,27
399,T.J. Zeuch,TOR,SP,0,2,6.75,4,2,0,12,16,13,9,5,7,6,0.32,1.92,27
401,Wade Davis,KC,RP,0,0,8.31,9,0,1,8.2,9,8,8,1,5,8,0.29,1.62,26
401,Justin Wilson,NYY,RP,0,0,5.4,8,0,0,6.2,7,4,4,1,4,6,0.259,1.65,26
403,Andrew Miller,STL,RP,0,0,8.59,9,0,0,7.1,12,7,7,2,4,8,0.364,2.18,25
403,Daniel Norris,DET,SP,0,1,6.48,9,0,0,8.1,12,6,6,1,2,6,0.364,1.68,25
403,Nick Wittgren,CLE,RP,0,1,7.36,8,0,1,7.1,8,6,6,1,4,7,0.286,1.64,25
403,Grant Dayton,ATL,RP,0,0,6.14,7,0,0,7.1,7,5,5,1,3,6,0.241,1.36,25
403,Paolo Espino,WSH,RP,0,1,2.84,3,1,0,6.1,5,2,2,2,1,4,0.217,0.95,25
403,Spencer Howard,PHI,SP,0,0,8.31,3,0,0,4.1,6,4,4,0,2,8,0.316,1.85,25
409,Jacob Barnes,NYM,RP,1,0,6.43,6,0,0,7,6,5,5,2,2,4,0.214,1.14,24
409,Erik Swanson,SEA,RP,0,0,0,2,1,0,4,0,0,0,0,1,4,0,0.25,24
409,Eric Yardley,MIL,RP,0,0,5.73,10,0,0,11,14,7,7,2,4,4,0.311,1.64,24
412,Oliver Pérez,CLE,RP,0,1,0,5,0,0,3.2,5,1,0,0,1,4,0.278,1.64,23
412,Brett Martin,TEX,RP,0,0,4.7,7,0,0,7.2,11,5,4,1,1,4,0.324,1.57,23
412,Wes Benjamin,TEX,SP,0,1,4.77,3,0,0,5.2,4,3,3,1,6,5,0.211,1.77,23
412,Devin Smeltzer,MIN,SP,0,0,0,1,0,0,4.2,1,1,0,0,1,3,0.077,0.43,23
412,Matt Peacock,ARI,SP,1,0,8.31,6,0,0,8.2,10,10,8,2,3,5,0.27,1.5,23
417,Mike Fiers,OAK,SP,0,1,4.5,1,1,0,6,6,3,3,2,2,3,0.261,1.33,22
417,Chris Archer,TB,SP,0,1,6.23,2,1,0,4.1,7,4,3,0,1,6,0.35,1.85,22
417,Tyler Webb,STL,RP,0,0,9.72,11,0,0,8.1,7,9,9,1,8,8,0.219,1.8,22
417,Cody Reed,TB,SP,0,1,2.08,6,0,0,4.1,4,2,1,1,3,4,0.25,1.62,22
417,Kyle McGowin,WSH,RP,0,0,4.91,7,0,0,7.1,5,4,4,1,5,4,0.185,1.36,22
